Focus area,Year,Total investment (in billions of U.S. dollars)
AI infrastructure/research/governance,2018,0.0288
AI infrastructure/research/governance,2019,0.224618114
AI infrastructure/research/governance,2020,1.061630005
AI infrastructure/research/governance,2021,0.491348985
AI infrastructure/research/governance,2022,0.121435142
AI infrastructure/research/governance,2023,10.40020055
AI infrastructure/research/governance,2024,37.27128627
AR/VR,2018,0.036674295
AR/VR,2019,0.17676974
AR/VR,2020,0.749337558
AR/VR,2021,0.887784891
AR/VR,2022,0.306968584
AR/VR,2023,0.666498457
AR/VR,2024,1.348963851
AV,2018,0.569479898
AV,2019,0.701030623
AV,2020,2.480000357
AV,2021,2.848868285
AV,2022,2.216105063
AV,2023,2.714477022
AV,2024,9.426366229
Agritech,2018,0.22983287
Agritech,2019,0.203509802
Agritech,2020,0.355709704
Agritech,2021,1.044489073
Agritech,2022,0.422454452
Agritech,2023,0.45532358
Agritech,2024,0.806693553
Business operations,2019,0.02269999
Business operations,2020,0.088360511
Business operations,2021,0.005637686
Business operations,2022,0.122699992
Business operations,2023,0.067700002
Business operations,2024,1.52401548
Content creation/translation,2018,0.004540948
Content creation/translation,2019,0.021132754
Content creation/translation,2020,0.045492604
Content creation/translation,2021,0.019161644
Content creation/translation,2022,0.110887209
Content creation/translation,2023,0.155338833
Content creation/translation,2024,0.756009446
"Creative, music, video content",2018,0.642429604
"Creative, music, video content",2019,0.672772411
"Creative, music, video content",2020,0.990410706
"Creative, music, video content",2021,3.416566459
"Creative, music, video content",2022,1.782759998
"Creative, music, video content",2023,1.318923138
"Creative, music, video content",2024,0.748473975
"Cybersecurity, data protection",2018,0.179897268
"Cybersecurity, data protection",2019,0.453713189
"Cybersecurity, data protection",2020,0.902353474
"Cybersecurity, data protection",2021,0.853451353
"Cybersecurity, data protection",2022,1.025907388
"Cybersecurity, data protection",2023,0.852195916
"Cybersecurity, data protection",2024,3.733714874
"Data management, processing",2018,1.108462743
"Data management, processing",2019,2.097260746
"Data management, processing",2020,2.225874574
"Data management, processing",2021,6.516718969
"Data management, processing",2022,4.911705532
"Data management, processing",2023,5.489236471
"Data management, processing",2024,16.58964939
Drones,2018,0.128502079
Drones,2019,0.176057925
Drones,2020,0.241573172
Drones,2021,2.201033302
Drones,2022,4.224564092
Drones,2023,0.956289845
Drones,2024,2.579738317
Ed tech,2018,2.583793796
Ed tech,2019,0.960497143
Ed tech,2020,2.371549854
Ed tech,2021,2.237837636
Ed tech,2022,1.527040838
Ed tech,2023,1.240451899
Ed tech,2024,0.965170712
"Energy, oil, and gas",2018,0.722973364
"Energy, oil, and gas",2019,0.764114479
"Energy, oil, and gas",2020,1.016164253
"Energy, oil, and gas",2021,3.68175987
"Energy, oil, and gas",2022,3.654375752
"Energy, oil, and gas",2023,1.466295478
"Energy, oil, and gas",2024,2.016833535
Fintech,2018,0.392277973
Fintech,2019,0.809782797
Fintech,2020,1.151205094
Fintech,2021,2.745706481
Fintech,2022,2.117779866
Fintech,2023,2.126519025
Fintech,2024,6.880099165
Insurtech,2018,0.137525263
Insurtech,2019,0.7332635
Insurtech,2020,0.601880145
Insurtech,2021,1.56608696
Insurtech,2022,1.356226169
Insurtech,2023,0.601308465
Insurtech,2024,1.356068185
IoT,2018,0.119813081
IoT,2019,0.058943391
IoT,2020,0.149486831
IoT,2021,0.263865644
IoT,2022,0.642624348
IoT,2023,0.068209405
IoT,2024,0.840282684
Manufacturing,2018,0.244718107
Manufacturing,2019,0.081667098
Manufacturing,2020,0.462494076
