Geographic area,Total Investment (in Billions of U.S. Dollars)
United States,109.0773255
China,9.290337909
United Kingdom,4.519300073
Sweden,4.335660898
Canada,2.887230487
France,2.617394131
Germany,1.974363427
United Arab Emirates,1.772767429
Austria,1.505925924
Israel,1.364899872
South Korea,1.326995968
India,1.160556186
Netherlands,1.090665984
Japan,0.927028226
Italy,0.863945611
Singapore,0.847717123
Brazil,0.689429072
Turkey,0.51305661
Switzerland,0.428615762
Australia,0.427455242
Spain,0.409329697
Hong Kong,0.390008504
Lithuania,0.34477884
Norway,0.19464037
Belgium,0.186256546
Ireland,0.145372655
Jersey,0.145
Denmark,0.133226771
Croatia,0.107571067
Mexico,0.1019
Luxembourg,0.086071782
Portugal,0.071261713
Romania,0.071166738
Taiwan,0.066512313
Malaysia,0.0643
Finland,0.050754509
Indonesia,0.0485
Poland,0.03659772
Greece,0.032428927
Ghana,0.03
Saudi Arabia,0.025999147
Estonia,0.023616548
Iceland,0.019234692
South Africa,0.017985041
Tunisia,0.013
New Zealand,0.010355605
Colombia,0.01
Egypt,0.009
Chile,0.009
Vietnam,0.0085
Saint Kitts And Nevis,0.0077
Bulgaria,0.007164227
Philippines,0.0055
Cayman Islands,0.0055
Slovakia,0.005417118
Cameroon,0.005
Czech Republic,0.004815686
Costa Rica,0.004332492
Cyprus,0.004167409
Nigeria,0.004
Kenya,0.0025
British Virgin Islands,0.0025
Thailand,0.002147771
Peru,0.002
Hungary,0.002
Slovenia,0.001518603
Kazakhstan,0.0015
