Geographic area,"Total Investment (in Billions of U.S. Dollars), 2013-24"
United States,470.9223112
China,119.3198229
United Kingdom,28.17025072
Canada,15.30599504
Israel,14.95814021
Germany,13.27076964
India,11.29486342
France,11.09680763
South Korea,8.962056925
Singapore,7.27106726
Sweden,7.267975111
Japan,5.892677976
Australia,3.985426167
Switzerland,3.897936818
United Arab Emirates,3.671712708
Hong Kong,3.538433458
Netherlands,3.089097178
Spain,2.677716484
Austria,2.221597133
Brazil,2.184213152
Ireland,1.774355019
Argentina,1.566448147
Italy,1.380678365
Finland,1.286856299
Belgium,1.259241341
Taiwan,0.971927833
Cayman Islands,0.896085457
Turkey,0.867281275
Mexico,0.863794859
Denmark,0.817811835
Portugal,0.793556783
Norway,0.759006546
Chile,0.68210051
Lithuania,0.552683711
Malaysia,0.427439288
Indonesia,0.392813428
Romania,0.392566533
New Zealand,0.354527332
Poland,0.351180082
Vietnam,0.3139
Hungary,0.264105527
Czech Republic,0.257451809
South Africa,0.226762699
Russia,0.225774717
Luxembourg,0.212533081
Iceland,0.194233588
Croatia,0.181734433
Saudi Arabia,0.155166756
Thailand,0.14806777
Estonia,0.145512817
Jersey,0.145
Cyprus,0.129032893
Nigeria,0.127722651
Greece,0.120460425
Egypt,0.0971
Slovakia,0.095848471
Ghana,0.0801
Colombia,0.07194705
Bulgaria,0.047091907
Kenya,0.040606312
Belize,0.0265
Slovenia,0.025633238
Mauritius,0.022
Philippines,0.021
Tunisia,0.021
Uruguay,0.01975
Saint Kitts And Nevis,0.0174
Malta,0.015807271
Bahrain,0.0158
Ukraine,0.015
Panama,0.01473589
Lebanon,0.0138
Belarus,0.012
Serbia,0.010291385
Uganda,0.0094
Kazakhstan,0.00924
Jordan,0.0086
Mongolia,0.0084
British Virgin Islands,0.0079
Latvia,0.006565042
Costa Rica,0.005932492
Sri Lanka,0.005564635
Cameroon,0.005
Armenia,0.00443894
Anguilla,0.002798751
Ecuador,0.0025
Seychelles,0.002273567
Bangladesh,0.0022
Puerto Rico,0.002
Peru,0.002
Barbados,0.0015
