Function,Response,% of respondents
Overall,Don’t know,0.12
Overall,Increase by >20%,0.05
Overall,Increase by 11–20%,0.06
Overall,Increase by 3–10%,0.08
Overall,Little or no change,0.38
Overall,Decrease by 3–10%,0.14
Overall,Decrease by 11–20%,0.09
Overall,Decrease by >20%,0.08
Marketing and sales,Little or no change,0.38
Product and/or service development,Little or no change,0.33
Strategy and corporate finance,Little or no change,0.29
Human resources,Little or no change,0.26
"Risk, legal, and compliance",Little or no change,0.25
Software engineering,Little or no change,0.25
Human resources,Decrease by 3–10%,0.24
IT,Little or no change,0.21
Manufacturing,Little or no change,0.2
Supply chain/ inventory management,Decrease by 11–20%,0.19
Service operations,Little or no change,0.19
Supply chain/ inventory management,Decrease by 3–10%,0.18
Manufacturing,Decrease by 3–10%,0.18
Manufacturing,Increase by 3–10%,0.18
Service operations,Decrease by 11–20%,0.17
Strategy and corporate finance,Increase by 3–10%,0.17
"Risk, legal, and compliance",Decrease by 11–20%,0.17
IT,Increase by 3–10%,0.17
Service operations,Decrease by 3–10%,0.16
Product and/or service development,Increase by 3–10%,0.16
Service operations,Decrease by >20%,0.15
Software engineering,Don’t know,0.15
IT,Increase by 11–20%,0.15
Manufacturing,Decrease by 11–20%,0.15
Supply chain/ inventory management,Little or no change,0.15
Supply chain/ inventory management,Increase by 3–10%,0.15
"Risk, legal, and compliance",Don’t know,0.15
Human resources,Decrease by 11–20%,0.14
"Risk, legal, and compliance",Decrease by 3–10%,0.14
IT,Don’t know,0.14
"Risk, legal, and compliance",Increase by 3–10%,0.13
Human resources,Don’t know,0.13
Strategy and corporate finance,Decrease by 11–20%,0.13
Service operations,Don’t know,0.12
Marketing and sales,Don’t know,0.11
Software engineering,Decrease by 3–10%,0.11
Software engineering,Increase by 3–10%,0.11
Manufacturing,Don’t know,0.11
Software engineering,Increase by 11–20%,0.11
Strategy and corporate finance,Decrease by 3–10%,0.11
Software engineering,Increase by >20%,0.1
Marketing and sales,Decrease by >20%,0.1
IT,Decrease by 11–20%,0.1
Service operations,Increase by >20%,0.1
Supply chain/ inventory management,Increase by >20%,0.1
Marketing and sales,Decrease by 11–20%,0.1
Supply chain/ inventory management,Decrease by >20%,0.1
Product and/or service development,Don’t know,0.1
Product and/or service development,Increase by 11–20%,0.1
Marketing and sales,Decrease by 3–10%,0.1
IT,Decrease by 3–10%,0.1
Strategy and corporate finance,Don’t know,0.09
IT,Increase by >20%,0.09
Software engineering,Decrease by 11–20%,0.09
Product and/or service development,Decrease by 3–10%,0.09
Supply chain/ inventory management,Don’t know,0.09
Strategy and corporate finance,Increase by >20%,0.08
Manufacturing,Decrease by >20%,0.08
"Risk, legal, and compliance",Increase by 11–20%,0.08
Marketing and sales,Increase by 11–20%,0.08
Product and/or service development,Increase by >20%,0.08
Human resources,Decrease by >20%,0.08
Software engineering,Decrease by >20%,0.08
Product and/or service development,Decrease by >20%,0.07
Marketing and sales,Increase by 3–10%,0.07
Strategy and corporate finance,Decrease by >20%,0.07
Product and/or service development,Decrease by 11–20%,0.07
Manufacturing,Increase by 11–20%,0.07
Service operations,Increase by 3–10%,0.07
Human resources,Increase by 3–10%,0.06
Marketing and sales,Increase by >20%,0.06
"Risk, legal, and compliance",Decrease by >20%,0.06
Strategy and corporate finance,Increase by 11–20%,0.05
IT,Decrease by >20%,0.05
Human resources,Increase by 11–20%,0.05
Supply chain/ inventory management,Increase by 11–20%,0.04
Human resources,Increase by >20%,0.04
Service operations,Increase by 11–20%,0.04
Manufacturing,Increase by >20%,0.03
"Risk, legal, and compliance",Increase by >20%,0.02
