Expectation type,Response,% of respondents,Year
Change in Employees,Increase by >20%,8%,2024
Change in Employees,Increase by >20%,3%,2023
Change in Employees,Increase by 11–20%,5%,2024
Change in Employees,Increase by 11–20%,4%,2023
Change in Employees,Increase by 3–10%,10%,2024
Change in Employees,Increase by 3–10%,8%,2023
Change in Employees,Little or no change,31%,2024
Change in Employees,Little or no change,30%,2023
Change in Employees,Decrease by 3–10%,14%,2024
Change in Employees,Decrease by 3–10%,25%,2023
Change in Employees,Decrease by 11–20%,10%,2024
Change in Employees,Decrease by 11–20%,10%,2023
Change in Employees,Decrease by >20%,8%,2024
Change in Employees,Decrease by >20%,8%,2023
Change in Employees,Don’t know,14%,2024
Change in Employees,Don’t know,12%,2023
Reskilled,>20%,46%,2024
Reskilled,>20%,38%,2023
Reskilled,11–20%,17%,2024
Reskilled,11–20%,18%,2023
Reskilled,6–10%,14%,2024
Reskilled,6–10%,17%,2023
Reskilled,≤5%,12%,2024
Reskilled,≤5%,20%,2023
Reskilled,Don’t know,11%,2024
Reskilled,Don’t know,8%,2023
