Industry,Function,year,% of respondents
Advanced industries ,Human resources,2024,14.06
Advanced industries ,IT,2024,36.36
Advanced industries ,Manufacturing,2024,32.24
Advanced industries ,Marketing and sales,2024,38.61
Advanced industries ,Product and/or service development,2024,25.03
Advanced industries ,"Risk, legal, and compliance",2024,21.07
Advanced industries ,Service operations,2024,32.47
Advanced industries ,Software engineering,2024,26.64
Advanced industries ,Strategy and corporate finance,2024,13.89
Advanced industries ,Supply chain/ inventory management,2024,31.7
"Business, legal, and  professional services ",Human resources,2024,20.47
"Business, legal, and  professional services ",IT,2024,28.47
"Business, legal, and  professional services ",Manufacturing,2024,4.34
"Business, legal, and  professional services ",Marketing and sales,2024,43.37
"Business, legal, and  professional services ",Product and/or service development,2024,36.56
"Business, legal, and  professional services ","Risk, legal, and compliance",2024,13.89
"Business, legal, and  professional services ",Service operations,2024,31.9
"Business, legal, and  professional services ",Software engineering,2024,12.64
"Business, legal, and  professional services ",Strategy and corporate finance,2024,20.89
"Business, legal, and  professional services ",Supply chain/ inventory management,2024,8.16
Consumer goods and  retail ,Human resources,2024,13.08
Consumer goods and  retail ,IT,2024,25.76
Consumer goods and  retail ,Manufacturing,2024,15.37
Consumer goods and  retail ,Marketing and sales,2024,43.31
Consumer goods and  retail ,Product and/or service development,2024,26.45
Consumer goods and  retail ,"Risk, legal, and compliance",2024,2.52
Consumer goods and  retail ,Service operations,2024,23.52
Consumer goods and  retail ,Software engineering,2024,4.79
Consumer goods and  retail ,Strategy and corporate finance,2024,6.33
Consumer goods and  retail ,Supply chain/ inventory management,2024,27.38
Energy and materials ,Human resources,2024,17.76
Energy and materials ,IT,2024,39.6
Energy and materials ,Manufacturing,2024,21.9
Energy and materials ,Marketing and sales,2024,22.51
Energy and materials ,Product and/or service development,2024,26.7
Energy and materials ,"Risk, legal, and compliance",2024,16.75
Energy and materials ,Service operations,2024,36.54
Energy and materials ,Software engineering,2024,19.33
Energy and materials ,Strategy and corporate finance,2024,11.87
Energy and materials ,Supply chain/ inventory management,2024,22.25
Financial services ,Human resources,2024,21.36
Financial services ,IT,2024,40.12
Financial services ,Manufacturing,2024,0.94
Financial services ,Marketing and sales,2024,35.8
Financial services ,Product and/or service development,2024,31.4
Financial services ,"Risk, legal, and compliance",2024,30.8
Financial services ,Service operations,2024,40.05
Financial services ,Software engineering,2024,29.87
Financial services ,Strategy and corporate finance,2024,14.59
Financial services ,Supply chain/ inventory management,2024,9.13
"Health care, pharma, and  medical products ",Human resources,2024,22.44
"Health care, pharma, and  medical products ",IT,2024,38.88
"Health care, pharma, and  medical products ",Manufacturing,2024,7.3
"Health care, pharma, and  medical products ",Marketing and sales,2024,28.4
"Health care, pharma, and  medical products ",Product and/or service development,2024,28.26
"Health care, pharma, and  medical products ","Risk, legal, and compliance",2024,14.55
"Health care, pharma, and  medical products ",Service operations,2024,23.69
"Health care, pharma, and  medical products ",Software engineering,2024,16.66
"Health care, pharma, and  medical products ",Strategy and corporate finance,2024,7.97
"Health care, pharma, and  medical products ",Supply chain/ inventory management,2024,10.92
Media and telecom ,Human resources,2024,26.58
Media and telecom ,IT,2024,39.61
Media and telecom ,Manufacturing,2024,11.67
Media and telecom ,Marketing and sales,2024,40.29
Media and telecom ,Product and/or service development,2024,30.53
Media and telecom ,"Risk, legal, and compliance",2024,4.06
Media and telecom ,Service operations,2024,43.33
Media and telecom ,Software engineering,2024,40.24
Media and telecom ,Strategy and corporate finance,2024,5.92
Media and telecom ,Supply chain/ inventory management,2024,13.2
Technology ,Human resources,2024,23.83
Technology ,IT,2024,48
Technology ,Manufacturing,2024,11.84
Technology ,Marketing and sales,2024,47.16
Technology ,Product and/or service development,2024,46.89
Technology ,"Risk, legal, and compliance",2024,18.98
Technology ,Service operations,2024,42.26
Technology ,Software engineering,2024,45.1
Technology ,Strategy and corporate finance,2024,13.69
Technology ,Supply chain/ inventory management,2024,13.75
