Function,Category,Percentage
Marketing and sales,Decrease by <10%,28%
Marketing and sales,Decrease by 10–19%,4%
Marketing and sales,Decrease by ≥20%,2%
Marketing and sales,Total Decrease,34%
"Risk, legal, and compliance",Decrease by <10%,20%
"Risk, legal, and compliance",Decrease by 10–19%,5%
"Risk, legal, and compliance",Decrease by ≥20%,9%
"Risk, legal, and compliance",Total Decrease,34%
Human resources,Decrease by <10%,21%
Human resources,Decrease by 10–19%,8%
Human resources,Decrease by ≥20%,8%
Human resources,Total Decrease,37%
Product or service development,Decrease by <10%,11%
Product or service development,Decrease by 10–19%,4%
Product or service development,Decrease by ≥20%,8%
Product or service development,Total Decrease,23%
Supply chain and inventory management,Decrease by <10%,29%
Supply chain and inventory management,Decrease by 10–19%,11%
Supply chain and inventory management,Decrease by ≥20%,3%
Supply chain and inventory management,Total Decrease,43%
Service operations,Decrease by <10%,28%
Service operations,Decrease by 10–19%,16%
Service operations,Decrease by ≥20%,5%
Service operations,Total Decrease,49%
IT,Decrease by <10%,22%
IT,Decrease by 10–19%,11%
IT,Decrease by ≥20%,4%
IT,Total Decrease,37%
Software engineering,Decrease by <10%,20%
Software engineering,Decrease by 10–19%,17%
Software engineering,Decrease by ≥20%,4%
Software engineering,Total Decrease,41%
Other corporate functions,Decrease by <10%,15%
Other corporate functions,Decrease by 10–19%,9%
Other corporate functions,Decrease by ≥20%,1%
Other corporate functions,Total Decrease,25%
Marketing and sales,Total Increase,71%
Marketing and sales,Increase by ≤5%,44%
Marketing and sales,Increase by 6–10%,23%
Marketing and sales,Increase by >10%,4%
Product or service development,Total Increase,56%
Product or service development,Increase by ≤5%,30%
Product or service development,Increase by 6–10%,16%
Product or service development,Increase by >10%,10%
Supply chain and inventory management,Total Increase,63%
Supply chain and inventory management,Increase by ≤5%,39%
Supply chain and inventory management,Increase by 6–10%,14%
Supply chain and inventory management,Increase by >10%,10%
Service operations,Total Increase,57%
Service operations,Increase by ≤5%,35%
Service operations,Increase by 6–10%,10%
Service operations,Increase by >10%,12%
Software engineering,Total Increase,44%
Software engineering,Increase by ≤5%,19%
Software engineering,Increase by 6–10%,14%
Software engineering,Increase by >10%,11%
