Function,Year,Category,% of respondents
Marketing and sales,2023,Decrease by ≤10%,26.00%
Marketing and sales,2023,Decrease by 11–19%,11.00%
Marketing and sales,2023,Decrease by ≥20%,10.00%
Marketing and sales,2023,Total Decrease,47.00%
"Risk, legal, and compliance",2023,Decrease by ≤10%,29.00%
"Risk, legal, and compliance",2023,Decrease by 11–19%,9.00%
"Risk, legal, and compliance",2023,Decrease by ≥20%,13.00%
"Risk, legal, and compliance",2023,Total Decrease,51.00%
Human resources,2023,Decrease by ≤10%,32.00%
Human resources,2023,Decrease by 11–19%,14.00%
Human resources,2023,Decrease by ≥20%,10.00%
Human resources,2023,Total Decrease,56.00%
Product or service development,2023,Decrease by ≤10%,17.00%
Product or service development,2023,Decrease by 11–19%,7.00%
Product or service development,2023,Decrease by ≥20%,19.00%
Product or service development,2023,Total Decrease,43.00%
Supply chain and inventory management,2023,Decrease by ≤10%,39.00%
Supply chain and inventory management,2023,Decrease by 11–19%,15.00%
Supply chain and inventory management,2023,Decrease by ≥20%,7.00%
Supply chain and inventory management,2023,Total Decrease,61.00%
Service operations,2023,Decrease by ≤10%,39.32%
Service operations,2023,Decrease by 11–19%,11.20%
Service operations,2023,Decrease by ≥20%,7.00%
Service operations,2023,Total Decrease,57.52%
Strategy and corporate finance,2023,Decrease by ≤10%,35.00%
Strategy and corporate finance,2023,Decrease by 11–19%,6.00%
Strategy and corporate finance,2023,Decrease by ≥20%,15.00%
Strategy and corporate finance,2023,Total Decrease,56.00%
Software engineering,2023,Decrease by ≤10%,23.00%
Software engineering,2023,Decrease by 11–19%,16.00%
Software engineering,2023,Decrease by ≥20%,13.00%
Software engineering,2023,Total Decrease,52.00%
IT,2023,Decrease by ≤10%,21.38%
IT,2023,Decrease by 11–19%,12.42%
IT,2023,Decrease by ≥20%,10.00%
IT,2023,Total Decrease,43.80%
Knowledge management and other<br>internal functions,2023,Decrease by ≤10%,16.43%
Knowledge management and other<br>internal functions,2023,Decrease by 11–19%,7.89%
Knowledge management and other<br>internal functions,2023,Decrease by ≥20%,19.38%
Knowledge management and other<br>internal functions,2023,Total Decrease,43.70%
Marketing and sales,2023,Total Increase,66.00%
Marketing and sales,2023,Increase by ≤5%,34.00%
Marketing and sales,2023,Increase by 6–10%,24.00%
Marketing and sales,2023,Increase by >10%,8.00%
"Risk, legal, and compliance",2023,Total Increase,
"Risk, legal, and compliance",2023,Increase by ≤5%,
"Risk, legal, and compliance",2023,Increase by 6–10%,
"Risk, legal, and compliance",2023,Increase by >10%,
Human resources,2023,Total Increase,
Human resources,2023,Increase by ≤5%,
Human resources,2023,Increase by 6–10%,
Human resources,2023,Increase by >10%,
Product or service development,2023,Total Increase,50.93%
Product or service development,2023,Increase by ≤5%,24.75%
Product or service development,2023,Increase by 6–10%,14.54%
Product or service development,2023,Increase by >10%,11.64%
Supply chain and inventory management,2023,Total Increase,66.99%
Supply chain and inventory management,2023,Increase by ≤5%,32.36%
Supply chain and inventory management,2023,Increase by 6–10%,15.23%
Supply chain and inventory management,2023,Increase by >10%,19.40%
Service operations,2023,Total Increase,63.00%
Service operations,2023,Increase by ≤5%,31.00%
Service operations,2023,Increase by 6–10%,14.00%
Service operations,2023,Increase by >10%,18.00%
Strategy and corporate finance,2023,Total Increase,70.00%
Strategy and corporate finance,2023,Increase by ≤5%,47.00%
Strategy and corporate finance,2023,Increase by 6–10%,12.00%
Strategy and corporate finance,2023,Increase by >10%,11.00%
IT,2023,Total Increase,
IT,2023,Increase by ≤5%,
IT,2023,Increase by 6–10%,
IT,2023,Increase by >10%,
Software engineering,2023,Total Increase,56.93%
Software engineering,2023,Increase by ≤5%,31.45%
Software engineering,2023,Increase by 6–10%,13.44%
Software engineering,2023,Increase by >10%,12.04%
Knowledge management and other<br>internal functions,2023,Total Increase,
Knowledge management and other<br>internal functions,2023,Increase by ≤5%,
Knowledge management and other<br>internal functions,2023,Increase by 6–10%,
Knowledge management and other<br>internal functions,2023,Increase by >10%,
