% of Respondents,Geographic Area,Year
71.45%,All geographies,2024
67.00%,Asia-Pacific,2024
73.40%,Europe,2024
73.70%,North America,2024
72.90%,"Greater China (incl. Hong Kong, Taiwan, and Macau)",2024
67.70%,"Developing markets (incl. India, Central/South America, MENA)",2024
33.26%,All geographies,2023
30.06%,Asia-Pacific,2023
30.83%,Europe,2023
39.53%,North America,2023
30.74%,"Greater China (incl. Hong Kong, Taiwan, and Macau)",2023
32.97%,"Developing markets (incl. India, Central/South America, MENA)",2023
