Year,Number of industrial robots installed (in thousands),Geographic area
2011,20,Germany
2012,18,Germany
2013,18,Germany
2014,20,Germany
2015,20,Germany
2016,20,Germany
2017,21,Germany
2018,27,Germany
2019,22,Germany
2020,22,Germany
2021,24,Germany
2022,26,Germany
2023,28,Germany
2011,26,South Korea
2012,19,South Korea
2013,21,South Korea
2014,25,South Korea
2015,38,South Korea
2016,41,South Korea
2017,40,South Korea
2018,38,South Korea
2019,33,South Korea
2020,31,South Korea
2021,31,South Korea
2022,32,South Korea
2023,31,South Korea
2011,21,United States
2012,22,United States
2013,24,United States
2014,26,United States
2015,28,United States
2016,31,United States
2017,33,United States
2018,40,United States
2019,33,United States
2020,31,United States
2021,35,United States
2022,40,United States
2023,38,United States
2011,28,Japan
2012,29,Japan
2013,25,Japan
2014,29,Japan
2015,35,Japan
2016,39,Japan
2017,46,Japan
2018,55,Japan
2019,50,Japan
2020,39,Japan
2021,47,Japan
2022,50,Japan
2023,46,Japan
2011,23,China
2012,23,China
2013,37,China
2014,57,China
2015,69,China
2016,97,China
2017,156,China
2018,155,China
2019,148,China
2020,178,China
2021,268,China
2022,290,China
2023,276,China
