Geographic area,Number of clinical trials,Year
Germany,10,2021
Canada,8,2021
France,27,2021
Taiwan,12,2021
Spain,11,2021
United Kingdom,25,2021
Turkey,5,2021
Italy,26,2021
United States,63,2021
China,56,2021
Germany,9,2022
Canada,14,2022
France,30,2022
Taiwan,17,2022
Spain,20,2022
United Kingdom,17,2022
Turkey,11,2022
Italy,22,2022
United States,74,2022
China,71,2022
Germany,15,2023
Canada,6,2023
France,36,2023
Taiwan,19,2023
Spain,15,2023
United Kingdom,28,2023
Turkey,16,2023
Italy,31,2023
United States,80,2023
China,71,2023
