Group,total_pct
Physician + conventional resources only,55.26315789
Physician + conventional resources only,73.68421053
Physician + conventional resources only,68.42105263
Physician + conventional resources only,52.63157895
Physician + conventional resources only,89.47368421
Physician + conventional resources only,86.84210526
Physician + GPT-4,71.05263158
Physician + GPT-4,71.05263158
Physician + GPT-4,73.68421053
Physician + GPT-4,78.94736842
Physician + GPT-4,36.84210526
Physician + GPT-4,76.31578947
Physician + GPT-4,47.36842105
Physician + GPT-4,84.21052632
Physician + GPT-4,89.47368421
Physician + GPT-4,36.84210526
Physician + GPT-4,73.68421053
Physician + GPT-4,94.73684211
Physician + GPT-4,92.10526316
Physician + GPT-4,84.21052632
Physician + GPT-4,78.94736842
Physician + GPT-4,78.94736842
Physician + GPT-4,47.36842105
Physician + GPT-4,100
Physician + GPT-4,94.73684211
Physician + GPT-4,50
Physician + GPT-4,57.89473684
Physician + conventional resources only,71.05263158
Physician + conventional resources only,78.94736842
Physician + conventional resources only,76.31578947
Physician + conventional resources only,94.73684211
Physician + conventional resources only,86.84210526
Physician + conventional resources only,63.15789474
Physician + conventional resources only,65.78947368
Physician + conventional resources only,76.31578947
Physician + conventional resources only,71.05263158
Physician + conventional resources only,63.15789474
Physician + conventional resources only,42.10526316
Physician + conventional resources only,57.89473684
Physician + GPT-4,86.84210526
Physician + GPT-4,81.57894737
Physician + GPT-4,92.10526316
Physician + GPT-4,94.73684211
Physician + GPT-4,94.73684211
Physician + GPT-4,84.21052632
Physician + GPT-4,68.42105263
Physician + GPT-4,97.36842105
Physician + GPT-4,78.94736842
Physician + conventional resources only,81.57894737
Physician + conventional resources only,86.84210526
Physician + conventional resources only,94.73684211
Physician + conventional resources only,78.94736842
Physician + conventional resources only,84.21052632
Physician + GPT-4,89.47368421
Physician + GPT-4,52.63157895
Physician + GPT-4,65.78947368
Physician + conventional resources only,60.52631579
Physician + conventional resources only,68.42105263
Physician + conventional resources only,42.10526316
Physician + conventional resources only,60.52631579
Physician + conventional resources only,73.68421053
Physician + conventional resources only,63.15789474
Physician + conventional resources only,47.36842105
Physician + conventional resources only,73.68421053
Physician + conventional resources only,52.63157895
Physician + conventional resources only,47.36842105
Physician + conventional resources only,52.63157895
Physician + conventional resources only,65.78947368
Physician + conventional resources only,39.47368421
Physician + conventional resources only,94.73684211
Physician + conventional resources only,68.42105263
Physician + conventional resources only,84.21052632
Physician + conventional resources only,63.15789474
Physician + conventional resources only,65.78947368
Physician + conventional resources only,63.15789474
Physician + conventional resources only,52.63157895
Physician + conventional resources only,47.36842105
Physician + conventional resources only,78.94736842
Physician + conventional resources only,68.42105263
Physician + conventional resources only,63.15789474
Physician + conventional resources only,68.42105263
Physician + GPT-4,78.94736842
Physician + GPT-4,78.94736842
Physician + GPT-4,94.73684211
Physician + GPT-4,73.68421053
Physician + GPT-4,84.21052632
Physician + GPT-4,89.47368421
Physician + GPT-4,57.89473684
Physician + GPT-4,76.31578947
Physician + GPT-4,84.21052632
Physician + GPT-4,50
Physician + GPT-4,76.31578947
Physician + GPT-4,68.42105263
Physician + GPT-4,71.05263158
Physician + GPT-4,76.31578947
Physician + GPT-4,52.63157895
Physician + conventional resources only,78.94736842
Physician + conventional resources only,71.05263158
Physician + conventional resources only,73.68421053
Physician + conventional resources only,78.94736842
Physician + conventional resources only,89.47368421
Physician + conventional resources only,97.36842105
Physician + conventional resources only,89.47368421
Physician + conventional resources only,100
Physician + GPT-4,78.94736842
Physician + GPT-4,81.57894737
Physician + GPT-4,73.68421053
Physician + conventional resources only,81.57894737
Physician + conventional resources only,94.73684211
Physician + conventional resources only,84.21052632
Physician + conventional resources only,47.36842105
Physician + conventional resources only,68.42105263
Physician + conventional resources only,63.15789474
Physician + conventional resources only,57.89473684
Physician + conventional resources only,84.21052632
Physician + conventional resources only,52.63157895
Physician + conventional resources only,97.36842105
Physician + conventional resources only,68.42105263
Physician + conventional resources only,89.47368421
Physician + conventional resources only,89.47368421
Physician + GPT-4,94.73684211
Physician + GPT-4,94.73684211
Physician + GPT-4,89.47368421
Physician + GPT-4,86.84210526
Physician + GPT-4,92.10526316
Physician + conventional resources only,81.57894737
Physician + conventional resources only,89.47368421
Physician + conventional resources only,68.42105263
Physician + conventional resources only,47.36842105
Physician + GPT-4,73.68421053
Physician + GPT-4,86.84210526
Physician + GPT-4,71.05263158
Physician + GPT-4,76.31578947
Physician + GPT-4,78.94736842
Physician + GPT-4,76.31578947
Physician + conventional resources only,60.52631579
Physician + conventional resources only,84.21052632
Physician + conventional resources only,78.94736842
Physician + conventional resources only,68.42105263
Physician + conventional resources only,86.84210526
Physician + conventional resources only,84.21052632
Physician + GPT-4,68.42105263
Physician + GPT-4,89.47368421
Physician + GPT-4,86.84210526
Physician + GPT-4,57.89473684
Physician + GPT-4,65.78947368
Physician + GPT-4,78.94736842
Physician + GPT-4,63.15789474
Physician + GPT-4,71.05263158
Physician + GPT-4,78.94736842
Physician + GPT-4,97.36842105
Physician + GPT-4,84.21052632
Physician + GPT-4,86.84210526
Physician + GPT-4,92.10526316
Physician + GPT-4,73.68421053
Physician + GPT-4,36.84210526
Physician + GPT-4,78.94736842
Physician + GPT-4,42.10526316
Physician + GPT-4,76.31578947
Physician + GPT-4,50
Physician + GPT-4,89.47368421
Physician + GPT-4,94.73684211
Physician + GPT-4,100
Physician + GPT-4,84.21052632
Physician + GPT-4,94.73684211
Physician + GPT-4,94.73684211
Physician + conventional resources only,86.84210526
Physician + conventional resources only,86.84210526
Physician + conventional resources only,57.89473684
Physician + conventional resources only,78.94736842
Physician + conventional resources only,84.21052632
Physician + GPT-4,63.15789474
Physician + GPT-4,68.42105263
Physician + GPT-4,73.68421053
Physician + GPT-4,76.31578947
Physician + GPT-4,65.78947368
Physician + conventional resources only,52.63157895
Physician + conventional resources only,84.21052632
Physician + conventional resources only,63.15789474
Physician + conventional resources only,52.63157895
Physician + conventional resources only,84.21052632
Physician + GPT-4,100
Physician + GPT-4,63.15789474
Physician + GPT-4,73.68421053
Physician + GPT-4,73.68421053
Physician + GPT-4,52.63157895
Physician + GPT-4,60.52631579
Physician + GPT-4,73.68421053
Physician + GPT-4,63.15789474
Physician + GPT-4,71.05263158
Physician + GPT-4,81.57894737
Physician + conventional resources only,97.36842105
Physician + conventional resources only,86.84210526
Physician + conventional resources only,76.31578947
Physician + GPT-4,71.05263158
Physician + GPT-4,50
Physician + GPT-4,47.36842105
Physician + GPT-4,57.89473684
Physician + GPT-4,57.89473684
Physician + GPT-4,57.89473684
Physician + GPT-4,55.26315789
Physician + GPT-4,47.36842105
Physician + GPT-4,52.63157895
Physician + GPT-4,63.15789474
Physician + GPT-4,44.73684211
Physician + conventional resources only,47.36842105
Physician + conventional resources only,86.84210526
Physician + conventional resources only,68.42105263
Physician + conventional resources only,57.89473684
Physician + conventional resources only,81.57894737
Physician + conventional resources only,84.21052632
Physician + conventional resources only,73.68421053
Physician + conventional resources only,94.73684211
Physician + conventional resources only,78.94736842
Physician + conventional resources only,73.68421053
Physician + conventional resources only,52.63157895
Physician + conventional resources only,84.21052632
Physician + GPT-4,84.21052632
Physician + GPT-4,84.21052632
Physician + GPT-4,84.21052632
Physician + GPT-4,73.68421053
Physician + GPT-4,68.42105263
Physician + GPT-4,84.21052632
Physician + conventional resources only,89.47368421
Physician + conventional resources only,97.36842105
Physician + conventional resources only,86.84210526
Physician + conventional resources only,73.68421053
Physician + GPT-4,81.57894737
Physician + GPT-4,78.94736842
Physician + GPT-4,100
Physician + GPT-4,73.68421053
Physician + GPT-4,89.47368421
Physician + GPT-4,84.21052632
Physician + conventional resources only,84.21052632
Physician + conventional resources only,78.94736842
Physician + conventional resources only,52.63157895
Physician + conventional resources only,89.47368421
Physician + conventional resources only,63.15789474
Physician + conventional resources only,57.89473684
Physician + conventional resources only,73.68421053
Physician + conventional resources only,89.47368421
Physician + conventional resources only,60.52631579
Physician + conventional resources only,52.63157895
Physician + conventional resources only,86.84210526
GPT-4 alone,100
GPT-4 alone,89.47368421
GPT-4 alone,97.36842105
GPT-4 alone,78.94736842
GPT-4 alone,97.36842105
GPT-4 alone,63.15789474
GPT-4 alone,84.21052632
GPT-4 alone,89.47368421
GPT-4 alone,97.36842105
GPT-4 alone,78.94736842
GPT-4 alone,89.47368421
GPT-4 alone,81.57894737
GPT-4 alone,97.36842105
GPT-4 alone,94.73684211
GPT-4 alone,100
GPT-4 alone,73.68421053
GPT-4 alone,97.36842105
GPT-4 alone,100
