threegroup,total_pct
Physicians + GPT-4,53.75
Physicians + GPT-4,90.74074074
Physicians + GPT-4,60.82089552
Physicians + GPT-4,88.88888889
Physicians + GPT-4,80.43478261
Physicians + GPT-4,35
Physicians + GPT-4,48.14814815
Physicians + GPT-4,35.82089552
Physicians + GPT-4,31.94444444
Physicians + GPT-4,56.52173913
Physicians + conventional resources only,23.125
Physicians + conventional resources only,48.14814815
Physicians + conventional resources only,20.14925373
Physicians + conventional resources only,18.05555556
Physicians + conventional resources only,65.2173913
Physicians + conventional resources only,52.5
Physicians + conventional resources only,36.11111111
Physicians + conventional resources only,63.04347826
Physicians + GPT-4,19.40298507
Physicians + GPT-4,29.16666667
GPT-4 alone,32.5
GPT-4 alone,51.85185185
GPT-4 alone,43.28358209
GPT-4 alone,38.88888889
GPT-4 alone,65.2173913
Physicians + conventional resources only,22.5
Physicians + conventional resources only,43.28358209
Physicians + conventional resources only,30.55555556
Physicians + conventional resources only,60.86956522
Physicians + GPT-4,81.48148148
Physicians + GPT-4,41.66666667
Physicians + GPT-4,89.13043478
Physicians + conventional resources only,33.75
Physicians + conventional resources only,66.66666667
Physicians + conventional resources only,34.32835821
Physicians + conventional resources only,50
Physicians + conventional resources only,63.04347826
Physicians + GPT-4,41.25
Physicians + GPT-4,62.96296296
Physicians + GPT-4,19.40298507
Physicians + conventional resources only,22.5
Physicians + conventional resources only,55.55555556
Physicians + conventional resources only,29.85074627
Physicians + GPT-4,12.5
Physicians + GPT-4,57.40740741
Physicians + GPT-4,33.20895522
Physicians + GPT-4,45.83333333
Physicians + GPT-4,54.34782609
Physicians + GPT-4,27.5
Physicians + GPT-4,62.96296296
Physicians + GPT-4,28.35820896
Physicians + GPT-4,30.55555556
Physicians + GPT-4,60.86956522
Physicians + conventional resources only,13.75
Physicians + conventional resources only,35.18518519
Physicians + conventional resources only,21.64179104
Physicians + conventional resources only,27.77777778
Physicians + conventional resources only,43.47826087
Physicians + GPT-4,47.5
Physicians + GPT-4,61.11111111
Physicians + GPT-4,47.3880597
Physicians + GPT-4,29.16666667
Physicians + GPT-4,69.56521739
Physicians + conventional resources only,56.25
Physicians + conventional resources only,44.02985075
Physicians + conventional resources only,25
Physicians + conventional resources only,50
Physicians + GPT-4,37.03703704
Physicians + GPT-4,27.23880597
Physicians + GPT-4,47.82608696
Physicians + conventional resources only,48.14814815
Physicians + conventional resources only,40.27777778
Physicians + conventional resources only,47.82608696
Physicians + GPT-4,37.03703704
Physicians + GPT-4,36.56716418
Physicians + GPT-4,44.44444444
Physicians + conventional resources only,22.5
Physicians + conventional resources only,25.92592593
Physicians + conventional resources only,23.13432836
Physicians + conventional resources only,20.83333333
Physicians + conventional resources only,60.86956522
Physicians + conventional resources only,30
Physicians + conventional resources only,29.10447761
Physicians + conventional resources only,23.61111111
Physicians + conventional resources only,43.47826087
Physicians + GPT-4,47.5
Physicians + GPT-4,38.88888889
Physicians + GPT-4,69.56521739
Physicians + GPT-4,40
Physicians + GPT-4,74.07407407
Physicians + GPT-4,45.89552239
Physicians + GPT-4,43.05555556
Physicians + GPT-4,33.75
Physicians + GPT-4,41.04477612
Physicians + GPT-4,60.86956522
Physicians + conventional resources only,41.25
Physicians + conventional resources only,50
Physicians + conventional resources only,22.3880597
Physicians + conventional resources only,9.722222222
Physicians + conventional resources only,39.13043478
Physicians + GPT-4,57.40740741
Physicians + GPT-4,16.41791045
Physicians + GPT-4,52.17391304
Physicians + GPT-4,42.5
Physicians + GPT-4,57.40740741
Physicians + GPT-4,51.49253731
Physicians + GPT-4,45.83333333
Physicians + GPT-4,71.73913043
Physicians + GPT-4,36.25
Physicians + GPT-4,18.51851852
Physicians + GPT-4,20.89552239
Physicians + GPT-4,36.11111111
Physicians + GPT-4,52.17391304
Physicians + GPT-4,51.85185185
Physicians + GPT-4,31.34328358
Physicians + GPT-4,27.77777778
Physicians + GPT-4,63.04347826
Physicians + conventional resources only,21.25
