Ethical concern,% of medical AI ethics publications,Year
Bias,23%,2020
Privacy,30%,2020
Equity,7%,2020
Transparency,15%,2020
Trust,11%,2020
Security,12%,2020
Accessibility,6%,2020
Stakeholders,7%,2020
Fairness,7%,2020
Safety,7%,2020
Bias,25%,2021
Privacy,25%,2021
Equity,16%,2021
Transparency,10%,2021
Trust,13%,2021
Security,8%,2021
Accessibility,6%,2021
Stakeholders,8%,2021
Fairness,7%,2021
Safety,7%,2021
Bias,30%,2022
Privacy,20%,2022
Equity,19%,2022
Transparency,10%,2022
Trust,11%,2022
Security,9%,2022
Accessibility,5%,2022
Stakeholders,10%,2022
Fairness,10%,2022
Safety,7%,2022
