Year,AI tool,Number of medical AI ethics publications
2020,"OpenAI GPT Series<br>(GPT-3, ChatGPT,<br>GPT-3.5, GPT-4,<br>GPT-4-Turbo)",0
2021,"OpenAI GPT Series<br>(GPT-3, ChatGPT,<br>GPT-3.5, GPT-4,<br>GPT-4-Turbo)",0
2022,"OpenAI GPT Series<br>(GPT-3, ChatGPT,<br>GPT-3.5, GPT-4,<br>GPT-4-Turbo)",0
2023,"OpenAI GPT Series<br>(GPT-3, ChatGPT,<br>GPT-3.5, GPT-4,<br>GPT-4-Turbo)",42
2024,"OpenAI GPT Series<br>(GPT-3, ChatGPT,<br>GPT-3.5, GPT-4,<br>GPT-4-Turbo)",86
2020,"OpenAI Vision<br>(DALL-E, SORA)",0
2021,"OpenAI Vision<br>(DALL-E, SORA)",0
2022,"OpenAI Vision<br>(DALL-E, SORA)",0
2023,"OpenAI Vision<br>(DALL-E, SORA)",0
2024,"OpenAI Vision<br>(DALL-E, SORA)",1
2020,"Google<br>(LaMDA, PaLM,<br>Gemini)",0
2021,"Google<br>(LaMDA, PaLM,<br>Gemini)",0
2022,"Google<br>(LaMDA, PaLM,<br>Gemini)",0
2023,"Google<br>(LaMDA, PaLM,<br>Gemini)",1
2024,"Google<br>(LaMDA, PaLM,<br>Gemini)",5
2020,"Meta<br>(BART, OPT,<br>LLaMA)",0
2021,"Meta<br>(BART, OPT,<br>LLaMA)",0
2022,"Meta<br>(BART, OPT,<br>LLaMA)",0
2023,"Meta<br>(BART, OPT,<br>LLaMA)",2
2024,"Meta<br>(BART, OPT,<br>LLaMA)",9
2020,Anthropic<br>(Claude),0
2021,Anthropic<br>(Claude),0
2022,Anthropic<br>(Claude),0
2023,Anthropic<br>(Claude),1
2024,Anthropic<br>(Claude),3
2020,Mistral,0
2021,Mistral,0
2022,Mistral,0
2023,Mistral,0
2024,Mistral,1
2020,Cohere,0
2021,Cohere,0
2022,Cohere,0
2023,Cohere,0
2024,Cohere,0
2020,xAI<br>(Grok),0
2021,xAI<br>(Grok),0
2022,xAI<br>(Grok),0
2023,xAI<br>(Grok),0
2024,xAI<br>(Grok),0
