Geographic area,"Number of AI-related bills passed into law, 2016-24"
Algeria,0
Norway,0
Northern Mariana Islands,0
New Zealand,0
Netherlands,0
Nauru,0
Mozambique,0
Morocco,0
Montenegro,0
Monaco,0
Poland,0
Mexico,0
Malta,0
Malaysia,0
Malawi,0
Kosovo,0
Zambia,0
Kenya,0
Jamaica,0
Israel,0
Isle of Man,0
Mauritius,0
Romania,0
Samoa,0
Saudi Arabia,0
Yemen,0
Vietnam,0
Uruguay,0
Ukraine,0
Uganda,0
Tuvalu,0
Turkey,0
Tonga,0
Togo,0
Tanzania,0
Tajikistan,0
Switzerland,0
Sweden,0
Suriname,0
St Kitts and Nevis,0
South Africa,0
Slovak Republic,0
Singapore,0
Sierra Leone,0
Seychelles,0
Serbia,0
Ireland,0
Iraq,0
Kiribati,0
Zimbabwe,0
Cameroon,0
Cuba,0
Curacao,0
Czech Republic,0
Denmark,0
Estonia,0
Faroe Islands,0
Brunei,0
Finland,0
Bolivia,0
Gibraltar,0
Greece,0
Greenland,0
Bermuda,0
Bhutan,0
Guatemala,0
Antigua and Barbuda,0
Armenia,0
Guyana,0
Azerbaijan,0
Belize,0
Guam,0
Chile,0
Grenada,0
Bangladesh,0
Belarus,0
Bahrain,0
Brazil,1
Bahamas,1
Bulgaria,1
Australia,1
Barbados,1
Canada,1
Iceland,1
Liechtenstein,1
Kyrgyz Republic,1
Lithuania,1
Luxembourg,1
Macao,1
Fiji,1
Croatia,1
Panama,1
India,1
Cyprus,1
Kazakhstan,3
Andorra,3
Slovenia,3
Hungary,3
Argentina,3
Hong Kong,3
United Arab Emirates,3
Latvia,3
Japan,4
China,4
Germany,4
Philippines,6
Austria,7
France,9
United Kingdom,10
Italy,10
Spain,11
"Korea, Rep",13
Belgium,18
Russia,20
Portugal,20
United States,27
