Year,Agency Name,Number of AI-related regulations
2024,Agency for International Development,1
2023,Census Bureau,1
2018,Centers for Medicare and Medicaid Services,1
2022,Centers for Medicare and Medicaid Services,4
2019,Centers for Medicare and Medicaid Services,2
2023,Centers for Medicare and Medicaid Services,3
2021,Centers for Medicare and Medicaid Services,5
2020,Centers for Medicare and Medicaid Services,4
2024,Centers for Medicare and Medicaid Services,7
2022,Children and Families Administration,1
2021,Children and Families Administration,1
2020,Children and Families Administration,1
2020,Commerce Department,1
2022,Commerce Department,3
2023,Commerce Department,5
2021,Commerce Department,1
2024,Commerce Department,7
2024,Commodity Futures Trading Commission,1
2022,Comptroller of the Currency,1
2024,Comptroller of the Currency,2
2019,Consumer Financial Protection Bureau,1
2023,Consumer Financial Protection Bureau,1
2024,Consumer Financial Protection Bureau,4
2022,Consumer Financial Protection Bureau,1
2024,"Copyright Office, Library of Congress",1
2019,"Copyright Office, Library of Congress",1
2023,"Copyright Office, Library of Congress",1
2024,Defense Acquisition Regulations System,1
2024,Defense Department,1
2024,Education Department,2
2020,Education Department,2
2022,Employee Benefits Security Administration,1
2021,Employment and Training Administration,1
2024,Energy Department,1
2023,Energy Department,1
2024,Environmental Protection Agency,2
2024,Executive Office for Immigration Review,1
2022,Executive Office of the President,3
2020,Executive Office of the President,5
2023,Executive Office of the President,5
2018,Executive Office of the President,2
2019,Executive Office of the President,6
2024,Executive Office of the President,5
2021,Executive Office of the President,2
2024,Federal Aviation Administration,1
2020,Federal Communications Commission,1
2024,Federal Communications Commission,2
2024,Federal Deposit Insurance Corporation,1
2024,Federal Election Commission,1
2024,Federal Energy Regulatory Commission,1
2024,Federal Housing Finance Agency,1
2024,Federal Railroad Administration,1
2023,Federal Railroad Administration,1
2024,Federal Reserve System,1
2024,Federal Trade Commission,2
2024,Financial Crimes Enforcement Network,1
2023,Food and Drug Administration,1
2024,Food and Drug Administration,2
2020,Food and Drug Administration,1
2022,Food and Drug Administration,2
2021,Food and Drug Administration,1
2018,Health and Human Services Department,1
2019,Health and Human Services Department,2
2020,Health and Human Services Department,5
2023,Health and Human Services Department,4
2021,Health and Human Services Department,5
2022,Health and Human Services Department,5
2024,Health and Human Services Department,14
2024,Homeland Security Department,2
2016,Homeland Security Department,1
2021,Homeland Security Department,3
2023,Homeland Security Department,1
2024,Housing and Urban Development Department,1
2020,Housing and Urban Development Department,1
2023,Housing and Urban Development Department,1
2024,Industry and Security Bureau,4
2022,Industry and Security Bureau,3
2023,Industry and Security Bureau,4
2020,Investment Security Office,1
2024,Investment Security Office,1
2024,Justice Department,1
2021,Labor Department,1
2022,Labor Department,1
2023,Labor Department,1
2019,Library of Congress,1
2023,Library of Congress,1
2024,Library of Congress,1
2023,National Credit Union Administration,1
2024,National Credit Union Administration,1
2024,National Highway Traffic Safety Administration,1
2024,National Oceanic and Atmospheric Administration,1
2023,National Science Foundation,1
2022,Nuclear Regulatory Commission,1
2023,Occupational Safety and Health Administration,1
2020,Office of the Inspector General,2
2021,Office of the Inspector General,1
2022,Office of the Inspector General,1
2020,Office of the Secretary,1
2022,Office of the Secretary,1
2024,Office of the Secretary,6
2021,Office of the Secretary,3
2023,Office of the Secretary,1
2020,Patent and Trademark Office,1
2024,Patent and Trademark Office,1
2024,Personnel Management Office,1
2022,Public Health Service,1
2021,Public Health Service,1
2022,Securities and Exchange Commission,1
2023,Securities and Exchange Commission,2
2024,Securities and Exchange Commission,3
2024,Small Business Administration,1
2023,Transportation Department,1
2024,Transportation Department,4
2024,Treasury Department,4
2020,Treasury Department,1
2022,Treasury Department,1
