State,"Number of AI-related bills passed into law, 2016–24"
Alabama,7
Alaska,0
Arizona,5
Arkansas,0
California,42
Colorado,7
Connecticut,3
Delaware,1
Florida,9
Georgia,3
Hawaii,4
Idaho,4
Illinois,11
Indiana,4
Iowa,4
Kansas,0
Kentucky,2
Louisiana,4
Maine,1
Maryland,17
Massachusetts,11
Michigan,7
Minnesota,4
Mississippi,6
Missouri,0
Montana,0
Nebraska,1
Nevada,2
New Hampshire,6
New Jersey,3
New Mexico,3
New York,8
North Carolina,6
North Dakota,3
Ohio,2
Oklahoma,0
Oregon,2
Pennsylvania,3
Rhode Island,0
South Carolina,1
South Dakota,1
Tennessee,4
Texas,5
Utah,17
Vermont,7
Virginia,17
Washington,11
West Virginia,4
Wisconsin,2
Wyoming,1
