Country,Tot. Value (M$)
United States,5233.09979627
United Kingdom,568.475448
Germany,278.073428
France,190.1034309599707
Spain,99.71283594042633
Belgium,83.53937
Denmark,74.40290642056506
Finland,71.24961280350327
Poland,55.91825447208751
Greece,50.02344730617398
Romania,46.36938885148581
Italy,44.29552215362842
Czech Republic,40.70957763362463
Hungary,36.56407878235948
Ireland,29.42336225137
Austria,28.57500667723543
Sweden,26.34568693176657
Norway,25.82677709636227
Slovakia,13.47630155858669
Portugal,11.60587060625429
Lithuania,10.75185475005524
Bulgaria,10.18775998721704
Switzerland,7.483250512041094
Netherlands,7.066898100739291
Slovenia,6.947802739806721
Turkey,5.627115659474512
Latvia,4.457420085881875
Luxembourg,3.884373322290111
Estonia,2.606172323719454
Croatia,2.202352676093653
Malta,1.297392016540143
Tunisia,0.372782593074638
Cyprus,0.3698029842206609
