Year,Public spending on AI-related contracts (% of total),Label
2013,0.0,Defense
2014,0.0,Defense
2015,0.0,Defense
2016,0.0,Defense
2017,0.009885956617169178,Defense
2018,0.004475317739049922,Defense
2019,0.0019827073036242527,Defense
2020,0.01568605355558124,Defense
2021,0.0008775541500299747,Defense
2022,0.01836432883850703,Defense
2023,0.008363943823400328,Defense
2013,0.0,Economic and financial affairs
2014,0.06376885265412838,Economic and financial affairs
2015,0.0,Economic and financial affairs
2016,0.2073692797575091,Economic and financial affairs
2017,0.0,Economic and financial affairs
2018,0.008573189112312325,Economic and financial affairs
2019,0.00460137613848128,Economic and financial affairs
2020,0.03680885573218576,Economic and financial affairs
2021,0.02316066975317002,Economic and financial affairs
2022,0.02805649584889041,Economic and financial affairs
2023,0.008721964917799672,Economic and financial affairs
2013,0.0,Local authority
2014,0.0,Local authority
2015,0.0,Local authority
2016,0.0,Local authority
2017,0.1074490265820848,Local authority
2018,0.02115094303134597,Local authority
2019,0.02448312556100483,Local authority
2020,0.0117457792240499,Local authority
2021,0.014057510991087062,Local authority
2022,0.0378612767767885,Local authority
2023,0.016312709018743942,Local authority
2013,0.02377392587005955,Government
2014,0.0,Government
2015,0.01572810217375876,Government
2016,0.1624945940130504,Government
2017,0.21046019186098838,Government
2018,0.33521849341360066,Government
2019,0.04896281245434668,Government
2020,0.044077637035910146,Government
2021,0.3729838807721603,Government
2022,0.059388603354917226,Government
2023,0.053525433642901465,Government
2013,0.000494528723135791,Health
2014,0.3141338077194943,Health
2015,0.0,Health
2016,0.2295124853448599,Health
2017,0.2348339717729059,Health
2018,0.16011829868197178,Health
2019,0.0217469332081241,Health
2020,0.2257215366983615,Health
2021,0.20082883698323598,Health
2022,0.1910391792273354,Health
2023,0.07426408188680393,Health
2013,0.2567598879469644,Other
2014,0.43086854726281937,Other
2015,0.21150702718046643,Other
2016,0.36514036126951444,Other
2017,0.1370182899290474,Other
2018,0.11152330601371868,Other
2019,0.07379225602163621,Other
2020,0.3061561380203968,Other
2021,0.03492790699698088,Other
2022,0.10002579983328067,Other
2023,0.07576545070008732,Other
2013,0.6667864107955355,Education
2014,0.19122879236355778,Education
2015,0.06499268424883689,Education
2016,0.0004838998951725416,Education
2017,0.1967388342765532,Education
2018,0.2144395109534447,Education
2019,0.06498578832995658,Education
2020,0.1157612556951937,Education
2021,0.08178515546571352,Education
2022,0.1364157629566345,Education
2023,0.1225866882813995,Education
2013,0.05218524666430485,General public services
2014,0.0,General public services
2015,0.707772186396938,General public services
2016,0.03499937971989379,General public services
2017,0.1036137289612511,General public services
2018,0.1445009410545561,General public services
2019,0.7594450009828261,General public services
2020,0.2440427440383209,General public services
2021,0.2713784848876222,General public services
2022,0.42884855316364645,General public services
2023,0.6404597277288641,General public services
