Country,Median Contract Value (k$)
Switzerland,3048.082527
Turkey,2813.55783
Ireland,1418.169958
Luxembourg,1148.414402
Denmark,1068.37097
Italy,1033.923467
Belgium,1014.120822
Austria,924.885531
Finland,673.9553516
Malta,648.6960083
Norway,625.3652844
Portugal,601.2850239
Estonia,565.7234461
Latvia,556.3057491
Greece,548.1430408
Sweden,538.241245
Spain,468.9359736
France,429.7768807
Slovakia,408.1798631
Tunisia,372.7825931
Cyprus,369.8029842
Slovenia,330.3667684
Hungary,276.711071
Czech Republic,261.7853181
Romania,247.8933548
Germany,240.654621
United States,215.022
United Kingdom,179.60173
Croatia,179.1092288
Netherlands,171.246513
Poland,170.6330736
Lithuania,147.1327404
Bulgaria,104.7711942
