Country,Tot. Value per 100k Inhabitants (k$)
United States,1582.912677
Finland,1287.494573
Denmark,1270.163538
United Kingdom,839.943699
Belgium,720.958497
Luxembourg,598.1029474
Ireland,561.6490527
Greece,481.7226689
Norway,472.7983633
Czech Republic,382.0095493
Hungary,378.4244997
Lithuania,375.6841554
Germany,333.401983
Slovenia,328.8292879
Austria,316.6576099
France,280.7891938
Sweden,253.8983192
Slovakia,248.3367338
Romania,242.7632371
Latvia,235.0635629
Malta,234.7713734
Spain,207.9672502
Estonia,195.2512558
Bulgaria,151.1775393
Poland,150.1446372
Portugal,111.4179526
Switzerland,85.8986977
Italy,74.61698055
Croatia,55.39679499
Netherlands,40.17719416
Cyprus,29.54906353
Turkey,6.608555933
Tunisia,3.039910582
