Year,Public spending on AI-related contracts  (in millions of US dollars),Label
2013,8.7,Europe
2014,6.74,Europe
2015,10.69,Europe
2016,9.86,Europe
2017,51.46,Europe
2018,89.27,Europe
2019,251.98,Europe
2020,149.35,Europe
2021,274.38,Europe
2022,397.53,Europe
2023,581.38,Europe
2013,56.81,United States
2014,85.06,United States
2015,64.53,United States
2016,98.61,United States
2017,204.17,United States
2018,501.71,United States
2019,666.86,United States
2020,936.39,United States
2021,1008.24,United States
2022,779.74,United States
2023,830.98,United States
