State code,% public high schools teaching foundational CS,State name
AL,94%,Alabama
AK,51%,Alaska
AZ,43%,Arizona
AR,100%,Arkansas
CA,52%,California
CO,59%,Colorado
CT,84%,Connecticut
DE,61%,Delaware
DC,53%,District of Columbia
FL,38%,Florida
GA,78%,Georgia
HI,72%,Hawaii
ID,46%,Idaho
IL,60%,Illinois
IN,91%,Indiana
IA,84%,Iowa
KS,35%,Kansas
KY,76%,Kentucky
LA,39%,Louisiana
ME,63%,Maine
MD,100%,Maryland
MA,83%,Massachusetts
MI,54%,Michigan
MN,36%,Minnesota
MS,85%,Mississippi
MO,58%,Missouri
MT,31%,Montana
NE,52%,Nebraska
NV,95%,Nevada
NH,95%,New Hampshire
NJ,86%,New Jersey
NM,54%,New Mexico
NY,52%,New York
NC,69%,North Carolina
ND,47%,North Dakota
OH,61%,Ohio
OK,64%,Oklahoma
OR,60%,Oregon
PA,75%,Pennsylvania
RI,83%,Rhode Island
SC,92%,South Carolina
SD,51%,South Dakota
TN,61%,Tennessee
TX,56%,Texas
UT,81%,Utah
VT,72%,Vermont
VA,68%,Virginia
WA,50%,Washington
WV,78%,West Virginia
WI,52%,Wisconsin
WY,74%,Wyoming
