Year,Number of AP computer science exams taken,Label
2007,765,Other
2008,746,Other
2009,744,Other
2010,660,Other
2011,698,Other
2012,791,Other
2013,1078,Other
2014,1516,Other
2015,1664,Other
2016,83,Other
2017,26,Other
2018,4,Other
2019,0,Other
2020,0,Other
2021,2,Other
2022,0,Other
2023,0,Other
2007,0,Native Hawaiian/Pacific Islander
2008,0,Native Hawaiian/Pacific Islander
2009,0,Native Hawaiian/Pacific Islander
2010,0,Native Hawaiian/Pacific Islander
2011,0,Native Hawaiian/Pacific Islander
2012,0,Native Hawaiian/Pacific Islander
2013,0,Native Hawaiian/Pacific Islander
2014,0,Native Hawaiian/Pacific Islander
2015,0,Native Hawaiian/Pacific Islander
2016,71,Native Hawaiian/Pacific Islander
2017,143,Native Hawaiian/Pacific Islander
2018,191,Native Hawaiian/Pacific Islander
2019,215,Native Hawaiian/Pacific Islander
2020,251,Native Hawaiian/Pacific Islander
2021,254,Native Hawaiian/Pacific Islander
2022,295,Native Hawaiian/Pacific Islander
2023,321,Native Hawaiian/Pacific Islander
2007,67,Native American/Alaskan
2008,61,Native American/Alaskan
2009,74,Native American/Alaskan
2010,66,Native American/Alaskan
2011,67,Native American/Alaskan
2012,77,Native American/Alaskan
2013,126,Native American/Alaskan
2014,131,Native American/Alaskan
2015,184,Native American/Alaskan
2016,88,Native American/Alaskan
2017,194,Native American/Alaskan
2018,269,Native American/Alaskan
2019,353,Native American/Alaskan
2020,823,Native American/Alaskan
2021,1073,Native American/Alaskan
2022,1285,Native American/Alaskan
2023,801,Native American/Alaskan
2007,0,Two or more races
2008,0,Two or more races
2009,0,Two or more races
2010,0,Two or more races
2011,0,Two or more races
2012,0,Two or more races
2013,0,Two or more races
2014,0,Two or more races
2015,0,Two or more races
2016,2415,Two or more races
2017,4498,Two or more races
2018,5939,Two or more races
2019,7232,Two or more races
2020,8626,Two or more races
2021,8554,Two or more races
2022,9293,Two or more races
2023,11238,Two or more races
2007,717,Black/African American
2008,784,Black/African American
2009,906,Black/African American
2010,825,Black/African American
2011,893,Black/African American
2012,1014,Black/African American
2013,1090,Black/African American
2014,1469,Black/African American
2015,1784,Black/African American
2016,2027,Black/African American
2017,5066,Black/African American
2018,7310,Black/African American
2019,9080,Black/African American
2020,10163,Black/African American
2021,10983,Black/African American
2022,13577,Black/African American
2023,16351,Black/African American
2007,1268,Hispanic/Latino/Latina
2008,1350,Hispanic/Latino/Latina
2009,1434,Hispanic/Latino/Latina
2010,1466,Hispanic/Latino/Latina
2011,1752,Hispanic/Latino/Latina
2012,1919,Hispanic/Latino/Latina
2013,2408,Hispanic/Latino/Latina
2014,3270,Hispanic/Latino/Latina
2015,4272,Hispanic/Latino/Latina
2016,6256,Hispanic/Latino/Latina
2017,14770,Hispanic/Latino/Latina
2018,20786,Hispanic/Latino/Latina
2019,26329,Hispanic/Latino/Latina
2020,28208,Hispanic/Latino/Latina
2021,28630,Hispanic/Latino/Latina
2022,35528,Hispanic/Latino/Latina
2023,43083,Hispanic/Latino/Latina
2007,4610,Asian 
2008,4984,Asian 
2009,5516,Asian 
2010,5131,Asian 
2011,5914,Asian 
2012,6869,Asian 
2013,8475,Asian 
2014,11060,Asian 
2015,13523,Asian 
2016,15913,Asian 
2017,26635,Asian 
2018,34468,Asian 
2019,41505,Asian 
2020,46600,Asian 
2021,50003,Asian 
2022,56098,Asian 
2023,69695,Asian 
2007,11499,White 
2008,11507,White 
2009,11761,White 
2010,10556,White 
2011,11252,White 
2012,13320,White 
2013,16059,White 
2014,19520,White 
2015,23946,White 
2016,26698,White 
2017,46777,White 
2018,58355,White 
2019,69897,White 
2020,76508,White 
2021,74271,White 
2022,77070,White 
2023,91216,White 
