Year,AP computer science exams taken (% of total responding students),Label
2007,4.04%,Other
2008,3.84%,Other
2009,3.64%,Other
2010,3.53%,Other
2011,3.39%,Other
2012,3.30%,Other
2013,3.69%,Other
2014,4.10%,Other
2015,3.67%,Other
2016,0.15%,Other
2017,0.03%,Other
2018,0.00%,Other
2019,0.00%,Other
2020,0.00%,Other
2021,0.00%,Other
2022,0.00%,Other
2023,0.00%,Other
2007,0.00%,Native Hawaiian/Pacific Islander
2008,0.00%,Native Hawaiian/Pacific Islander
2009,0.00%,Native Hawaiian/Pacific Islander
2010,0.00%,Native Hawaiian/Pacific Islander
2011,0.00%,Native Hawaiian/Pacific Islander
2012,0.00%,Native Hawaiian/Pacific Islander
2013,0.00%,Native Hawaiian/Pacific Islander
2014,0.00%,Native Hawaiian/Pacific Islander
2015,0.00%,Native Hawaiian/Pacific Islander
2016,0.13%,Native Hawaiian/Pacific Islander
2017,0.15%,Native Hawaiian/Pacific Islander
2018,0.15%,Native Hawaiian/Pacific Islander
2019,0.14%,Native Hawaiian/Pacific Islander
2020,0.15%,Native Hawaiian/Pacific Islander
2021,0.15%,Native Hawaiian/Pacific Islander
2022,0.15%,Native Hawaiian/Pacific Islander
2023,0.10%,Native Hawaiian/Pacific Islander
2007,0.35%,Native American/Alaskan
2008,0.31%,Native American/Alaskan
2009,0.36%,Native American/Alaskan
2010,0.35%,Native American/Alaskan
2011,0.33%,Native American/Alaskan
2012,0.32%,Native American/Alaskan
2013,0.43%,Native American/Alaskan
2014,0.35%,Native American/Alaskan
2015,0.41%,Native American/Alaskan
2016,0.16%,Native American/Alaskan
2017,0.20%,Native American/Alaskan
2018,0.21%,Native American/Alaskan
2019,0.23%,Native American/Alaskan
2020,0.48%,Native American/Alaskan
2021,0.62%,Native American/Alaskan
2022,0.64%,Native American/Alaskan
2023,0.30%,Native American/Alaskan
2007,0.00%,Two or more races
2008,0.00%,Two or more races
2009,0.00%,Two or more races
2010,0.00%,Two or more races
2011,0.00%,Two or more races
2012,0.00%,Two or more races
2013,0.00%,Two or more races
2014,0.00%,Two or more races
2015,0.00%,Two or more races
2016,4.51%,Two or more races
2017,4.58%,Two or more races
2018,4.66%,Two or more races
2019,4.68%,Two or more races
2020,5.04%,Two or more races
2021,4.92%,Two or more races
2022,4.61%,Two or more races
2023,4.60%,Two or more races
2007,3.79%,Black/African American
2008,4.03%,Black/African American
2009,4.43%,Black/African American
2010,4.41%,Black/African American
2011,4.34%,Black/African American
2012,4.23%,Black/African American
2013,3.73%,Black/African American
2014,3.97%,Black/African American
2015,3.93%,Black/African American
2016,3.79%,Black/African American
2017,5.16%,Black/African American
2018,5.74%,Black/African American
2019,5.87%,Black/African American
2020,5.94%,Black/African American
2021,6.32%,Black/African American
2022,6.73%,Black/African American
2023,6.70%,Black/African American
2007,6.70%,Hispanic/Latino/Latina
2008,6.95%,Hispanic/Latino/Latina
2009,7.02%,Hispanic/Latino/Latina
2010,7.84%,Hispanic/Latino/Latina
2011,8.51%,Hispanic/Latino/Latina
2012,8.00%,Hispanic/Latino/Latina
2013,8.24%,Hispanic/Latino/Latina
2014,8.85%,Hispanic/Latino/Latina
2015,9.42%,Hispanic/Latino/Latina
2016,11.68%,Hispanic/Latino/Latina
2017,15.05%,Hispanic/Latino/Latina
2018,16.33%,Hispanic/Latino/Latina
2019,17.03%,Hispanic/Latino/Latina
2020,16.48%,Hispanic/Latino/Latina
2021,16.48%,Hispanic/Latino/Latina
2022,17.62%,Hispanic/Latino/Latina
2023,17.70%,Hispanic/Latino/Latina
2007,24.36%,Asian 
2008,25.65%,Asian 
2009,26.99%,Asian 
2010,27.43%,Asian 
2011,28.74%,Asian 
2012,28.63%,Asian 
2013,28.99%,Asian 
2014,29.92%,Asian 
2015,29.80%,Asian 
2016,29.72%,Asian 
2017,27.15%,Asian 
2018,27.07%,Asian 
2019,26.84%,Asian 
2020,27.22%,Asian 
2021,28.78%,Asian 
2022,27.82%,Asian 
2023,28.70%,Asian 
2007,60.76%,White 
2008,59.22%,White 
2009,57.55%,White 
2010,56.44%,White 
2011,54.69%,White 
2012,55.52%,White 
2013,54.93%,White 
2014,52.81%,White 
2015,52.78%,White 
2016,49.86%,White 
2017,47.68%,White 
2018,45.83%,White 
2019,45.21%,White 
2020,44.69%,White 
2021,42.74%,White 
2022,38.23%,White 
2023,37.50%,White 
