Ratio of AP CS exam participation to national demographics,Race/ethnicity,Gender
7.87,Asian,Male
0.59,Black/African American,Male
0.86,Hispanic/Latino/Latina/Latinx,Male
0.44,Native American/Alaskan,Male
0.29,Native Hawaiian/Pacific Islander,Male
1.3,Two or more races,Male
1.28,White,Male
4.18,Asian,Female
0.35,Black/African American,Female
0.41,Hispanic/Latino/Latina/Latinx,Female
0.14,Native American/Alaskan,Female
0.14,Native Hawaiian/Pacific Islander,Female
0.61,Two or more races,Female
0.46,White,Female
