State,Guidance
Alabama,CS standards with minimal AI-specific content
Alaska,CS standards with minimal AI-specific content
Arizona,CS standards with no AI-specific content
Arkansas,CS standards with significant AI-specific content
California,CS standards with minimal AI-specific content
Colorado,CS standards with significant AI-specific content
Connecticut,CS standards with minimal AI-specific content
District of Columbia,No CS standards
Delaware,CS standards with minimal AI-specific content
Florida,CS standards with significant AI-specific content
Georgia,CS standards with minimal AI-specific content
Hawaii,CS standards with minimal AI-specific content
Idaho,CS standards with minimal AI-specific content
Illinois,CS standards with minimal AI-specific content
Indiana,CS standards with minimal AI-specific content
Iowa,CS standards with minimal AI-specific content
Kansas,CS standards with minimal AI-specific content
Kentucky,CS standards with minimal AI-specific content
Louisiana,CS standards with no AI-specific content
Maine,No CS standards
Maryland,CS standards with minimal AI-specific content
Massachusetts,CS standards with no AI-specific content
Michigan,CS standards with minimal AI-specific content
Minnesota,No CS standards
Mississippi,CS standards with minimal AI-specific content
Missouri,CS standards with minimal AI-specific content
Montana,CS standards with minimal AI-specific content
Nebraska,No CS standards
Nevada,CS standards with minimal AI-specific content
New Hampshire,CS standards with minimal AI-specific content
New Jersey,CS standards with no AI-specific content
New Mexico,CS standards with minimal AI-specific content
New York,CS standards with no AI-specific content
North Carolina,CS standards with minimal AI-specific content
North Dakota,CS standards with no AI-specific content
Ohio,CS standards with significant AI-specific content
Oklahoma,CS standards with minimal AI-specific content
Oregon,No CS standards
Pennsylvania,CS standards with no AI-specific content
Rhode Island,CS standards with no AI-specific content
South Carolina,CS standards with minimal AI-specific content
South Dakota,No CS standards
Tennessee,CS standards with no AI-specific content
Texas,CS standards with no AI-specific content
Utah,CS standards with no AI-specific content
Vermont,No CS standards
Virginia,CS standards with significant AI-specific content
Washington,CS standards with minimal AI-specific content
West Virginia,CS standards with minimal AI-specific content
Wisconsin,CS standards with minimal AI-specific content
Wyoming,CS standards with minimal AI-specific content
