Concept,% of teachers,Label
Algorithms,84%,Elementary school
Artificial Intelligence (AI),65%,Elementary school
"Computing systems (e.g., hardware/ software)",82%,Elementary school
Computational thinking,90%,Elementary school
Data and analysis,51%,Elementary school
Impacts and ethics of computing,56%,Elementary school
Programming,89%,Elementary school
Algorithms,88%,Middle school
Artificial Intelligence (AI),75%,Middle school
"Computing systems (e.g., hardware/ software)",86%,Middle school
Computational thinking,93%,Middle school
Data and analysis,61%,Middle school
Impacts and ethics of computing,73%,Middle school
Programming,94%,Middle school
Algorithms,92%,High school
Artificial Intelligence (AI),72%,High school
"Computing systems (e.g., hardware/ software)",85%,High school
Computational thinking,96%,High school
Data and analysis,74%,High school
Impacts and ethics of computing,87%,High school
Programming,96%,High school
