State code,% of students,State name
AL,8%,Alabama
AK,,Alaska
AZ,2%,Arizona
AR,20%,Arkansas
CA,,California
CO,,Colorado
CT,9%,Connecticut
DE,5%,Delaware
DC,,District of Columbia
FL,2%,Florida
GA,7%,Georgia
HI,4%,Hawaii
ID,2%,Idaho
IL,7%,Illinois
IN,7%,Indiana
IA,5%,Iowa
KS,3%,Kansas
KY,11%,Kentucky
LA,3%,Louisiana
ME,,Maine
MD,16%,Maryland
MA,8%,Massachusetts
MI,,Michigan
MN,2%,Minnesota
MS,11%,Mississippi
MO,3%,Missouri
MT,4%,Montana
NE,4%,Nebraska
NV,,Nevada
NH,,New Hampshire
NJ,9%,New Jersey
NM,3%,New Mexico
NY,5%,New York
NC,5%,North Carolina
ND,5%,North Dakota
OH,,Ohio
OK,5%,Oklahoma
OR,7%,Oregon
PA,6%,Pennsylvania
RI,18%,Rhode Island
SC,26%,South Carolina
SD,,South Dakota
TN,6%,Tennessee
TX,6%,Texas
UT,13%,Utah
VT,4%,Vermont
VA,5%,Virginia
WA,5%,Washington
WV,4%,West Virginia
WI,4%,Wisconsin
WY,9%,Wyoming
