Year,Number of new CS graduates,Label
2013,2015,PhD
2014,2100,PhD
2015,2136,PhD
2016,2136,PhD
2017,2223,PhD
2018,2427,PhD
2019,2427,PhD
2020,2461,PhD
2021,2488,PhD
2022,2488,PhD
2023,2540,PhD
2013,17075,Associate
2014,16933,Associate
2015,17651,Associate
2016,17805,Associate
2017,18904,Associate
2018,19275,Associate
2019,19232,Associate
2020,20096,Associate
2021,20328,Associate
2022,20523,Associate
2023,20725,Associate
2013,28528,Master’s
2014,29815,Master’s
2015,31483,Master’s
2016,31586,Master’s
2017,33463,Master’s
2018,31268,Master’s
2019,31263,Master’s
2020,31213,Master’s
2021,41312,Master’s
2022,41360,Master’s
2023,52107,Master’s
2013,71515,Bachelor’s
2014,73570,Bachelor’s
2015,76886,Bachelor’s
2016,77362,Bachelor’s
2017,80000,Bachelor’s
2018,82672,Bachelor’s
2019,82840,Bachelor’s
2020,84103,Bachelor’s
2021,85826,Bachelor’s
2022,85845,Bachelor’s
2023,87435,Bachelor’s
