Country,Percent Female,Group
Australia,24%,Short-cycle
Australia,33%,Master’s
Australia,34%,PhD
Australia,23%,Bachelor’s
Austria,10%,Short-cycle
Austria,21%,Master’s
Austria,19%,Bachelor’s
Austria,13%,PhD
Belgium,17%,Master’s
Belgium,14%,Bachelor’s
Belgium,10%,Short-cycle
Brazil,19%,PhD
Brazil,15%,Bachelor’s
Brazil,19%,Master’s
Bulgaria,40%,Master’s
Bulgaria,35%,Bachelor’s
Bulgaria,25%,PhD
Canada,22%,Bachelor’s
Canada,24%,PhD
Canada,31%,Master’s
Canada,29%,Short-cycle
Chile,12%,Bachelor’s
Chile,13%,Short-cycle
Chile,22%,Master’s
Colombia,18%,Bachelor’s
Colombia,28%,Master’s
Colombia,38%,PhD
Colombia,25%,Short-cycle
Costa Rica,18%,Master’s
Costa Rica,31%,Short-cycle
Costa Rica,21%,Bachelor’s
Croatia,25%,Master’s
Croatia,26%,Bachelor’s
Czech Republic,19%,Master’s
Czech Republic,16%,Bachelor’s
Czech Republic,18%,PhD
Denmark,19%,Bachelor’s
Denmark,35%,Master’s
Denmark,10%,Short-cycle
Estonia,45%,Master’s
Estonia,24%,Bachelor’s
Estonia,38%,PhD
Finland,21%,PhD
Finland,30%,Master’s
Finland,25%,Bachelor’s
France,26%,PhD
France,22%,Master’s
France,17%,Bachelor’s
France,14%,Short-cycle
Germany,20%,PhD
Germany,21%,Bachelor’s
Germany,24%,Master’s
Greece,30%,Bachelor’s
Greece,22%,PhD
Greece,42%,Master’s
Hungary,12%,Short-cycle
Hungary,17%,PhD
Hungary,18%,Master’s
Hungary,18%,Bachelor’s
Iceland,9%,Master’s
Iceland,28%,Bachelor’s
Ireland,35%,PhD
Ireland,36%,Master’s
Ireland,37%,Short-cycle
Ireland,27%,Bachelor’s
Israel,28%,PhD
Israel,18%,Master’s
Israel,56%,Short-cycle
Israel,32%,Bachelor’s
Italy,17%,Short-cycle
Italy,28%,PhD
Italy,25%,Master’s
Italy,17%,Bachelor’s
South Korea,23%,Master’s
South Korea,26%,Short-cycle
South Korea,32%,Bachelor’s
South Korea,15%,PhD
Latvia,20%,Short-cycle
Latvia,28%,Master’s
Latvia,21%,Bachelor’s
Lithuania,16%,Bachelor’s
Lithuania,34%,Master’s
Luxembourg,13%,Short-cycle
Luxembourg,23%,PhD
Luxembourg,42%,Master’s
Luxembourg,17%,Bachelor’s
Mexico,27%,Short-cycle
Mexico,33%,Master’s
Mexico,33%,PhD
Mexico,27%,Bachelor’s
Netherlands,29%,Master’s
Netherlands,13%,Short-cycle
Netherlands,14%,PhD
Netherlands,15%,Bachelor’s
New Zealand,36%,Short-cycle
New Zealand,35%,PhD
New Zealand,29%,Bachelor’s
New Zealand,34%,Master’s
Norway,43%,PhD
Norway,27%,Short-cycle
Norway,29%,Master’s
Norway,23%,Bachelor’s
Peru,31%,Bachelor’s
Poland,23%,Bachelor’s
Poland,12%,PhD
Poland,19%,Master’s
Portugal,20%,Bachelor’s
Portugal,6%,Short-cycle
Portugal,11%,PhD
Portugal,37%,Master’s
Romania,42%,Master’s
Romania,35%,PhD
Romania,33%,Bachelor’s
Slovakia,17%,Master’s
Slovakia,18%,Bachelor’s
Slovakia,11%,PhD
Slovenia,15%,PhD
Slovenia,13%,Short-cycle
Slovenia,21%,Bachelor’s
Slovenia,23%,Master’s
Spain,12%,Short-cycle
Spain,23%,PhD
Spain,22%,Master’s
Spain,14%,Bachelor’s
Sweden,30%,Short-cycle
Sweden,33%,PhD
Sweden,36%,Bachelor’s
Sweden,41%,Master’s
Switzerland,17%,Master’s
Switzerland,19%,PhD
Switzerland,11%,Bachelor’s
Turkey,50%,Bachelor’s
Turkey,55%,Short-cycle
Turkey,51%,Master’s
Turkey,53%,PhD
United Kingdom,18%,Bachelor’s
United Kingdom,24%,Short-cycle
United Kingdom,28%,PhD
United Kingdom,31%,Master’s
United States,24%,Bachelor’s
United States,24%,Short-cycle
United States,35%,Master’s
United States,26%,PhD
