Category,Country,% of respondents
My job,Global,37%
The amount of time it takes me  to get things done,Global,55%
My job,China,62%
The amount of time it takes me  to get things done,China,75%
My job,Indonesia,59%
The amount of time it takes me  to get things done,Indonesia,78%
My job,Thailand,52%
The amount of time it takes me  to get things done,Thailand,65%
My job,Singapore,39%
The amount of time it takes me  to get things done,Singapore,66%
My job,India,46%
The amount of time it takes me  to get things done,India,52%
My job,Mexico,51%
The amount of time it takes me  to get things done,Mexico,71%
My job,South Africa,53%
The amount of time it takes me  to get things done,South Africa,70%
My job,Peru,57%
The amount of time it takes me  to get things done,Peru,65%
My job,Malaysia,43%
The amount of time it takes me  to get things done,Malaysia,57%
My job,Brazil,46%
The amount of time it takes me  to get things done,Brazil,59%
My job,Colombia,45%
The amount of time it takes me  to get things done,Colombia,66%
My job,Argentina,40%
The amount of time it takes me  to get things done,Argentina,60%
My job,Turkey,41%
The amount of time it takes me  to get things done,Turkey,62%
My job,South Korea,23%
The amount of time it takes me  to get things done,South Korea,62%
My job,Poland,21%
The amount of time it takes me  to get things done,Poland,48%
My job,Chile,39%
The amount of time it takes me  to get things done,Chile,62%
My job,Switzerland,29%
The amount of time it takes me  to get things done,Switzerland,43%
My job,Germany,27%
The amount of time it takes me  to get things done,Germany,41%
My job,Ireland,33%
The amount of time it takes me  to get things done,Ireland,47%
My job,France,33%
The amount of time it takes me  to get things done,France,50%
My job,Great Britain,26%
The amount of time it takes me  to get things done,Great Britain,45%
My job,Italy,32%
The amount of time it takes me  to get things done,Italy,47%
My job,Hungary,24%
The amount of time it takes me  to get things done,Hungary,55%
My job,New Zealand,33%
The amount of time it takes me  to get things done,New Zealand,51%
My job,Australia,29%
The amount of time it takes me  to get things done,Australia,48%
My job,Spain,28%
The amount of time it takes me  to get things done,Spain,50%
My job,Japan,17%
The amount of time it takes me  to get things done,Japan,39%
My job,Netherlands,27%
The amount of time it takes me  to get things done,Netherlands,53%
My job,United States,31%
The amount of time it takes me  to get things done,United States,43%
My job,Belgium,26%
The amount of time it takes me  to get things done,Belgium,49%
My job,Sweden,32%
The amount of time it takes me  to get things done,Sweden,41%
My job,Canada,24%
The amount of time it takes me  to get things done,Canada,42%
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
