Statement,Country,% agreeing with statement
I have a good understanding of what  artificial intelligence is ,Global,67%
I know which types of products and  services use artificial intelligence ,Global,52%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Global,50%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Global,66%
I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,Global,54%
I trust that companies that use  artificial intelligence will protect  my personal data ,Global,47%
Products and services using  artificial intelligence  make me excited,Global,53%
Products and services using artificial intelligence make me nervous,Global,50%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Argentina,48%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Argentina,67%
I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,Argentina,60%
I trust that companies that use  artificial intelligence will protect  my personal data ,Argentina,46%
Products and services using  artificial intelligence  make me excited,Argentina,52%
Products and services using artificial intelligence make me nervous,Argentina,47%
I know which types of products and  services use artificial intelligence ,Argentina,51%
I have a good understanding of what  artificial intelligence is ,Argentina,72%
I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,Australia,42%
I have a good understanding of what  artificial intelligence is ,Australia,63%
I know which types of products and  services use artificial intelligence ,Australia,38%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Australia,40%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Australia,61%
I trust that companies that use  artificial intelligence will protect  my personal data ,Australia,32%
Products and services using  artificial intelligence  make me excited,Australia,39%
Products and services using artificial intelligence make me nervous,Australia,64%
Products and services using artificial intelligence make me nervous,Belgium,51%
I know which types of products and  services use artificial intelligence ,Belgium,37%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Belgium,34%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Belgium,61%
I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,Belgium,37%
I trust that companies that use  artificial intelligence will protect  my personal data ,Belgium,40%
Products and services using  artificial intelligence  make me excited,Belgium,33%
I have a good understanding of what  artificial intelligence is ,Belgium,65%
I have a good understanding of what  artificial intelligence is ,Brazil,64%
I know which types of products and  services use artificial intelligence ,Brazil,57%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Brazil,53%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Brazil,62%
I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,Brazil,56%
I trust that companies that use  artificial intelligence will protect  my personal data ,Brazil,45%
Products and services using  artificial intelligence  make me excited,Brazil,56%
Products and services using artificial intelligence make me nervous,Brazil,47%
I have a good understanding of what  artificial intelligence is ,Canada,65%
I know which types of products and  services use artificial intelligence ,Canada,36%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Canada,37%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Canada,61%
I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,Canada,41%
I trust that companies that use  artificial intelligence will protect  my personal data ,Canada,28%
Products and services using  artificial intelligence  make me excited,Canada,37%
Products and services using artificial intelligence make me nervous,Canada,63%
I know which types of products and  services use artificial intelligence ,Chile,53%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Chile,51%
I trust that companies that use  artificial intelligence will protect  my personal data ,Chile,43%
Products and services using  artificial intelligence  make me excited,Chile,46%
Products and services using artificial intelligence make me nervous,Chile,51%
I have a good understanding of what  artificial intelligence is ,Chile,65%
I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,Chile,59%
