Statement,Country,"% of respondents that ""Agree"""
Products and services using  artificial intelligence  make me excited,Global,53%
Products and services using artificial intelligence make me nervous,Global,50%
Products and services using  artificial intelligence  make me excited,China,80%
Products and services using artificial intelligence make me nervous,China,34%
Products and services using  artificial intelligence  make me excited,Indonesia,76%
Products and services using artificial intelligence make me nervous,Indonesia,48%
Products and services using  artificial intelligence  make me excited,Thailand,76%
Products and services using artificial intelligence make me nervous,Thailand,52%
Products and services using  artificial intelligence  make me excited,Mexico,70%
Products and services using artificial intelligence make me nervous,Mexico,48%
Products and services using  artificial intelligence  make me excited,Peru,67%
Products and services using artificial intelligence make me nervous,Peru,50%
Products and services using  artificial intelligence  make me excited,South Africa,61%
Products and services using artificial intelligence make me nervous,South Africa,54%
Products and services using  artificial intelligence  make me excited,Turkey,70%
Products and services using artificial intelligence make me nervous,Turkey,53%
Products and services using  artificial intelligence  make me excited,Singapore,64%
Products and services using artificial intelligence make me nervous,Singapore,56%
Products and services using  artificial intelligence  make me excited,South Korea,73%
Products and services using artificial intelligence make me nervous,South Korea,40%
Products and services using  artificial intelligence  make me excited,Colombia,63%
Products and services using artificial intelligence make me nervous,Colombia,48%
Products and services using  artificial intelligence  make me excited,India,63%
Products and services using artificial intelligence make me nervous,India,51%
Products and services using  artificial intelligence  make me excited,Malaysia,68%
Products and services using artificial intelligence make me nervous,Malaysia,50%
Products and services using  artificial intelligence  make me excited,Argentina,52%
Products and services using artificial intelligence make me nervous,Argentina,47%
Products and services using  artificial intelligence  make me excited,Brazil,56%
Products and services using artificial intelligence make me nervous,Brazil,47%
Products and services using  artificial intelligence  make me excited,Hungary,47%
Products and services using artificial intelligence make me nervous,Hungary,44%
Products and services using  artificial intelligence  make me excited,Chile,46%
Products and services using artificial intelligence make me nervous,Chile,51%
Products and services using  artificial intelligence  make me excited,Italy,49%
Products and services using artificial intelligence make me nervous,Italy,43%
Products and services using  artificial intelligence  make me excited,Spain,45%
Products and services using artificial intelligence make me nervous,Spain,48%
Products and services using  artificial intelligence  make me excited,Poland,44%
Products and services using artificial intelligence make me nervous,Poland,37%
Products and services using  artificial intelligence  make me excited,Germany,46%
Products and services using artificial intelligence make me nervous,Germany,44%
Products and services using  artificial intelligence  make me excited,New Zealand,43%
Products and services using artificial intelligence make me nervous,New Zealand,67%
Products and services using  artificial intelligence  make me excited,Ireland,40%
Products and services using artificial intelligence make me nervous,Ireland,67%
Products and services using  artificial intelligence  make me excited,Netherlands,40%
Products and services using artificial intelligence make me nervous,Netherlands,49%
Products and services using  artificial intelligence  make me excited,Great Britain,38%
Products and services using artificial intelligence make me nervous,Great Britain,64%
Products and services using  artificial intelligence  make me excited,Switzerland,42%
Products and services using artificial intelligence make me nervous,Switzerland,51%
Products and services using  artificial intelligence  make me excited,Australia,39%
Products and services using artificial intelligence make me nervous,Australia,64%
Products and services using  artificial intelligence  make me excited,United States,34%
Products and services using artificial intelligence make me nervous,United States,64%
Products and services using  artificial intelligence  make me excited,France,39%
Products and services using artificial intelligence make me nervous,France,49%
Products and services using  artificial intelligence  make me excited,Belgium,33%
Products and services using artificial intelligence make me nervous,Belgium,51%
Products and services using  artificial intelligence  make me excited,Japan,47%
Products and services using artificial intelligence make me nervous,Japan,25%
Products and services using  artificial intelligence  make me excited,Canada,37%
Products and services using artificial intelligence make me nervous,Canada,63%
Products and services using  artificial intelligence  make me excited,Sweden,36%
Products and services using artificial intelligence make me nervous,Sweden,56%
