Statement,Country,pp. change
I have a good understanding of what  artificial intelligence is ,Global,0%
I know which types of products and  services use artificial intelligence ,Global,1%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Global,1%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Global,0%
I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,Global,-2%
I trust that companies that use  artificial intelligence will protect  my personal data ,Global,-3%
Products and services using  artificial intelligence  make me excited ,Global,-1%
Products and services using artificial  intelligence make me nervous ,Global,-2%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Argentina,2%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Argentina,3%
I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,Argentina,-1%
I trust that companies that use  artificial intelligence will protect  my personal data ,Argentina,1%
Products and services using  artificial intelligence  make me excited ,Argentina,6%
Products and services using artificial  intelligence make me nervous ,Argentina,0%
I know which types of products and  services use artificial intelligence ,Argentina,7%
I have a good understanding of what  artificial intelligence is ,Argentina,4%
I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,Australia,-2%
I have a good understanding of what  artificial intelligence is ,Australia,4%
I know which types of products and  services use artificial intelligence ,Australia,0%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Australia,0%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Australia,-1%
I trust that companies that use  artificial intelligence will protect  my personal data ,Australia,-6%
Products and services using  artificial intelligence  make me excited ,Australia,-1%
Products and services using artificial  intelligence make me nervous ,Australia,-4%
Products and services using artificial  intelligence make me nervous ,Belgium,1%
I know which types of products and  services use artificial intelligence ,Belgium,2%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Belgium,3%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Belgium,8%
I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,Belgium,-3%
I trust that companies that use  artificial intelligence will protect  my personal data ,Belgium,0%
Products and services using  artificial intelligence  make me excited ,Belgium,-1%
I have a good understanding of what  artificial intelligence is ,Belgium,8%
I have a good understanding of what  artificial intelligence is ,Brazil,-9%
I know which types of products and  services use artificial intelligence ,Brazil,-5%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Brazil,-9%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Brazil,-7%
I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,Brazil,-9%
I trust that companies that use  artificial intelligence will protect  my personal data ,Brazil,-11%
Products and services using  artificial intelligence  make me excited ,Brazil,-9%
Products and services using artificial  intelligence make me nervous ,Brazil,-4%
I have a good understanding of what  artificial intelligence is ,Canada,6%
I know which types of products and  services use artificial intelligence ,Canada,-2%
