Response,Global opinions on the impact of AI on current jobs,% of respondents
Very likely,AI will change how you do your current job in the next 5 years,21%
Somewhat likely,AI will change how you do your current job in the next 5 years,39%
Not very likely,AI will change how you do your current job in the next 5 years,22%
Not likely at all,AI will change how you do your current job in the next 5 years,10%
Don’t Know,AI will change how you do your current job in the next 5 years,8%
Very likely,AI will replace your current job in the next 5 years,11%
Somewhat likely,AI will replace your current job in the next 5 years,25%
Not very likely,AI will replace your current job in the next 5 years,33%
Not likely at all,AI will replace your current job in the next 5 years,23%
Don’t Know,AI will replace your current job in the next 5 years,8%
