Statement,Country,% of respondents
The economy in my country ,Global,36%
The job market ,Global,31%
My job ,Global,37%
The amount of time it takes me  to get things done ,Global,55%
"My entertainment options  (television/video content,  movies, music, books) ",Global,51%
My health ,Global,38%
The economy in my country ,Argentina,39%
The job market ,Argentina,40%
My job ,Argentina,40%
The amount of time it takes me  to get things done ,Argentina,60%
"My entertainment options  (television/video content,  movies, music, books) ",Argentina,61%
My health ,Argentina,49%
The economy in my country ,Australia,26%
The job market ,Australia,21%
My job ,Australia,29%
The amount of time it takes me  to get things done ,Australia,48%
"My entertainment options  (television/video content,  movies, music, books) ",Australia,45%
My health ,Australia,29%
The economy in my country ,Belgium,23%
The job market ,Belgium,17%
My job ,Belgium,26%
The amount of time it takes me  to get things done ,Belgium,49%
"My entertainment options  (television/video content,  movies, music, books) ",Belgium,39%
My health ,Belgium,34%
The job market ,Brazil,41%
My job ,Brazil,46%
The amount of time it takes me  to get things done ,Brazil,59%
"My entertainment options  (television/video content,  movies, music, books) ",Brazil,57%
My health ,Brazil,44%
The economy in my country ,Brazil,40%
My job ,Canada,24%
The job market ,Canada,18%
"My entertainment options  (television/video content,  movies, music, books) ",Canada,43%
The amount of time it takes me  to get things done ,Canada,42%
The economy in my country ,Canada,18%
My health ,Canada,24%
My job ,Chile,39%
The amount of time it takes me  to get things done ,Chile,62%
"My entertainment options  (television/video content,  movies, music, books) ",Chile,63%
My health ,Chile,45%
The job market ,Chile,32%
The economy in my country ,Chile,32%
My health ,China,55%
The economy in my country ,China,72%
The job market ,China,44%
My job ,China,62%
"My entertainment options  (television/video content,  movies, music, books) ",China,71%
The amount of time it takes me  to get things done ,China,75%
My health ,Colombia,49%
"My entertainment options  (television/video content,  movies, music, books) ",Colombia,67%
The amount of time it takes me  to get things done ,Colombia,66%
The job market ,Colombia,44%
The economy in my country ,Colombia,39%
My job ,Colombia,45%
The amount of time it takes me  to get things done ,France,50%
The economy in my country ,France,29%
The job market ,France,27%
My job ,France,33%
"My entertainment options  (television/video content,  movies, music, books) ",France,33%
My health ,France,39%
The economy in my country ,Germany,31%
The job market ,Germany,22%
My job ,Germany,27%
The amount of time it takes me  to get things done ,Germany,41%
"My entertainment options  (television/video content,  movies, music, books) ",Germany,43%
My health ,Germany,27%
The economy in my country ,Great Britain,28%
My health ,Great Britain,30%
"My entertainment options  (television/video content,  movies, music, books) ",Great Britain,42%
The amount of time it takes me  to get things done ,Great Britain,45%
My job ,Great Britain,26%
The job market ,Great Britain,21%
"My entertainment options  (television/video content,  movies, music, books) ",Hungary,39%
The amount of time it takes me  to get things done ,Hungary,55%
The economy in my country ,Hungary,27%
My health ,Hungary,31%
My job ,Hungary,24%
The job market ,Hungary,25%
The job market ,India,48%
My health ,India,51%
"My entertainment options  (television/video content,  movies, music, books) ",India,52%
