% of respondents,Policy,Label
80.40%,Stricter data privacy regulations ,Agree
76.20%,Retraining for unemployed ,Agree
72.50%,AI deployment regulations ,Agree
57.70%,Stronger antitrust ,Agree
54.70%,Parole and sentencing AI regulations ,Agree
51.70%,Bias audits for hiring and promotion AI ,Agree
46.40%,Stronger social safety net ,Agree
45.60%,Federal regulations on local government AI ,Agree
44.40%,Semiconductor and AI hardware subsidies ,Agree
42.90%,Higher corporate income taxes ,Agree
42.40%,Robot tax ,Agree
39.10%,Immigration reform for AI developers ,Agree
34.20%,Law enforcement facial recognition ban ,Agree
33.90%,Wage subsidies for wage declines ,Agree
24.60%,Universal basic income ,Agree
9.50%,Stricter data privacy regulations ,Neither agree nor disagree
14.00%,Retraining for unemployed ,Neither agree nor disagree
14.50%,AI deployment regulations ,Neither agree nor disagree
24.50%,Stronger antitrust ,Neither agree nor disagree
20.20%,Parole and sentencing AI regulations ,Neither agree nor disagree
18.30%,Bias audits for hiring and promotion AI ,Neither agree nor disagree
24.60%,Stronger social safety net ,Neither agree nor disagree
22.80%,Federal regulations on local government AI ,Neither agree nor disagree
27.40%,Semiconductor and AI hardware subsidies ,Neither agree nor disagree
30.50%,Higher corporate income taxes ,Neither agree nor disagree
22.30%,Robot tax ,Neither agree nor disagree
34.10%,Immigration reform for AI developers ,Neither agree nor disagree
26.00%,Law enforcement facial recognition ban ,Neither agree nor disagree
27.00%,Wage subsidies for wage declines ,Neither agree nor disagree
17.10%,Universal basic income ,Neither agree nor disagree
10.10%,Stricter data privacy regulations ,Disagree
9.80%,Retraining for unemployed ,Disagree
13.00%,AI deployment regulations ,Disagree
17.80%,Stronger antitrust ,Disagree
25.10%,Parole and sentencing AI regulations ,Disagree
30.00%,Bias audits for hiring and promotion AI ,Disagree
29.00%,Stronger social safety net ,Disagree
31.70%,Federal regulations on local government AI ,Disagree
28.20%,Semiconductor and AI hardware subsidies ,Disagree
26.60%,Higher corporate income taxes ,Disagree
35.30%,Robot tax ,Disagree
26.80%,Immigration reform for AI developers ,Disagree
39.80%,Law enforcement facial recognition ban ,Disagree
39.00%,Wage subsidies for wage declines ,Disagree
58.30%,Universal basic income ,Disagree
