% of respondents,Party,Label
29.80%,All,Agree
31.30%,2023,Agree
28.50%,2022,Agree
26.80%,Democrats,Agree
31.50%,Republicans,Agree
29.50%,Democrats in 2023,Agree
24.40%,Democrats in 2022,Agree
31.80%,Republicans in 2023,Agree
31.20%,Republicans in 2022,Agree
17.90%,All,Neither agree nor disagree
14.90%,2023,Neither agree nor disagree
20.80%,2022,Neither agree nor disagree
15.10%,Democrats,Neither agree nor disagree
19.80%,Republicans,Neither agree nor disagree
11.00%,Democrats in 2023,Neither agree nor disagree
18.80%,Democrats in 2022,Neither agree nor disagree
17.60%,Republicans in 2023,Neither agree nor disagree
22.10%,Republicans in 2022,Neither agree nor disagree
52.30%,All,Disagree
53.80%,2023,Disagree
50.80%,2022,Disagree
58.10%,Democrats,Disagree
48.70%,Republicans,Disagree
59.50%,Democrats in 2023,Disagree
56.90%,Democrats in 2022,Disagree
50.70%,Republicans in 2023,Disagree
46.70%,Republicans in 2022,Disagree
