state_code,date,PHCI,UR,BPPRIV,NAICS54
AL,2019-01-01,124.94,3.7,1169,106.3
AK,2019-01-01,112.27,6.0,90,13.0
AZ,2019-01-01,145.63,5.0,2641,156.3
AR,2019-01-01,127.27,3.7,643,43.5
CA,2019-01-01,145.68,4.3,9373,1312.8
CO,2019-01-01,144.57,3.0,3026,229.9
CT,2019-01-01,122.0,3.7,278,95.9
DE,2019-01-01,126.27,3.5,604,26.4
FL,2019-01-01,147.4,3.5,11190,583.5
GA,2019-01-01,142.27,3.9,4045,281.6
HI,2019-01-01,118.88,2.8,432,25.2
ID,2019-01-01,143.53,3.0,880,40.1
IL,2019-01-01,122.45,4.6,1296,421.9
IN,2019-01-01,125.98,3.5,1528,121.0
IA,2019-01-01,127.48,2.6,425,52.8
KS,2019-01-01,130.0,3.3,428,74.6
KY,2019-01-01,127.26,4.2,935,76.5
LA,2019-01-01,110.51,4.7,1133,89.2
ME,2019-01-01,130.18,3.1,357,27.6
MD,2019-01-01,126.97,3.6,1743,256.5
MA,2019-01-01,142.0,3.2,819,336.8
MI,2019-01-01,122.31,4.2,1187,298.9
MN,2019-01-01,136.83,3.3,1352,159.1
MS,2019-01-01,118.81,5.4,623,31.0
MO,2019-01-01,129.47,3.3,1098,161.4
MT,2019-01-01,116.85,3.6,280,22.6
NE,2019-01-01,131.34,3.1,621,46.1
NV,2019-01-01,131.56,4.3,1204,60.4
NH,2019-01-01,145.01,2.6,338,38.3
NJ,2019-01-01,127.91,3.5,1778,306.1
NM,2019-01-01,123.83,5.1,349,
NY,2019-01-01,125.34,4.0,4036,693.8
NC,2019-01-01,135.38,4.0,4219,258.8
ND,2019-01-01,140.23,2.4,45,16.1
OH,2019-01-01,123.38,4.4,1095,266.5
OK,2019-01-01,128.32,3.2,740,74.3
OR,2019-01-01,141.39,4.2,1255,99.0
PA,2019-01-01,120.81,4.3,1353,357.9
RI,2019-01-01,124.13,3.8,67,25.9
SC,2019-01-01,146.74,3.2,3483,100.1
SD,2019-01-01,128.54,2.8,182,
TN,2019-01-01,135.9,3.5,2733,143.6
TX,2019-01-01,145.53,3.7,14258,806.0
UT,2019-01-01,148.38,2.8,1594,107.8
VT,2019-01-01,136.28,2.3,73,14.9
VA,2019-01-01,130.61,3.1,2859,433.2
WA,2019-01-01,140.7,4.7,2875,210.8
WV,2019-01-01,107.82,5.0,287,26.8
WI,2019-01-01,125.3,3.1,726,114.5
WY,2019-01-01,116.22,3.7,103,9.6
AL,2019-02-01,125.56,3.6,1089,106.3
AK,2019-02-01,112.5,5.9,88,13.1
AZ,2019-02-01,146.08,5.0,2897,156.6
AR,2019-02-01,127.51,3.6,954,43.7
CA,2019-02-01,146.04,4.3,6228,1319.9
CO,2019-02-01,145.17,2.9,2676,231.0
CT,2019-02-01,122.38,3.6,310,95.9
DE,2019-02-01,126.5,3.5,534,26.4
FL,2019-02-01,148.09,3.4,11099,586.5
GA,2019-02-01,142.72,3.8,4422,281.6
HI,2019-02-01,119.32,2.7,246,25.1
ID,2019-02-01,143.92,3.0,789,40.2
IL,2019-02-01,122.83,4.5,1229,422.5
IN,2019-02-01,126.17,3.5,1279,121.2
IA,2019-02-01,127.59,2.6,248,52.7
KS,2019-02-01,130.2,3.3,366,74.4
KY,2019-02-01,127.43,4.2,770,76.2
LA,2019-02-01,110.79,4.6,1347,89.6
ME,2019-02-01,130.72,3.0,380,27.8
MD,2019-02-01,127.55,3.5,930,257.4
MA,2019-02-01,142.37,3.2,816,338.0
MI,2019-02-01,122.44,4.2,1611,298.7
MN,2019-02-01,137.04,3.3,1558,158.7
MS,2019-02-01,118.94,5.4,410,31.0
MO,2019-02-01,129.59,3.3,838,161.5
MT,2019-02-01,116.98,3.6,134,22.6
NE,2019-02-01,131.49,3.1,404,46.1
NV,2019-02-01,131.98,4.3,1335,60.5
NH,2019-02-01,145.43,2.6,161,38.5
NJ,2019-02-01,128.34,3.4,1520,306.4
NM,2019-02-01,124.11,5.1,444,
NY,2019-02-01,125.77,3.9,2924,695.0
NC,2019-02-01,135.65,4.0,5092,259.2
ND,2019-02-01,140.68,2.3,32,16.1
OH,2019-02-01,123.96,4.2,1506,267.1
OK,2019-02-01,128.6,3.2,1101,74.6
OR,2019-02-01,141.83,4.1,1544,99.1
PA,2019-02-01,120.96,4.3,1686,358.5
RI,2019-02-01,124.58,3.7,70,25.7
SC,2019-02-01,147.03,3.2,2815,100.0
SD,2019-02-01,128.71,2.8,124,
TN,2019-02-01,136.46,3.4,2502,143.8
TX,2019-02-01,145.96,3.7,14511,809.5
UT,2019-02-01,148.95,2.7,1570,107.9
VT,2019-02-01,136.97,2.2,134,15.0
VA,2019-02-01,131.09,3.0,2610,434.2
WA,2019-02-01,141.05,4.6,2284,210.9
WV,2019-02-01,108.44,4.9,265,26.7
WI,2019-02-01,125.42,3.1,734,114.6
WY,2019-02-01,116.56,3.6,124,9.9
AL,2019-03-01,126.64,3.4,1283,106.4
AK,2019-03-01,112.77,5.8,120,13.2
AZ,2019-03-01,146.86,4.9,3691,157.1
AR,2019-03-01,127.78,3.5,746,43.6
CA,2019-03-01,146.7,4.2,8345,1321.4
CO,2019-03-01,145.68,2.8,3078,231.5
CT,2019-03-01,122.77,3.5,491,95.9
DE,2019-03-01,126.77,3.5,508,26.4
FL,2019-03-01,148.53,3.4,11661,587.6
GA,2019-03-01,143.14,3.7,4690,281.5
HI,2019-03-01,119.49,2.7,247,25.2
ID,2019-03-01,144.61,2.9,1125,40.4
IL,2019-03-01,123.29,4.4,1192,422.7
IN,2019-03-01,126.54,3.4,1642,121.5
IA,2019-03-01,127.75,2.6,617,52.7
KS,2019-03-01,130.79,3.2,507,74.4
KY,2019-03-01,127.97,4.1,811,76.6
LA,2019-03-01,110.89,4.5,1496,89.8
ME,2019-03-01,131.3,2.9,618,27.8
MD,2019-03-01,127.82,3.5,1788,257.1
MA,2019-03-01,143.23,3.1,1026,339.0
MI,2019-03-01,122.6,4.2,2053,298.3
MN,2019-03-01,137.31,3.3,2136,158.7
MS,2019-03-01,119.06,5.4,585,31.0
MO,2019-03-01,130.21,3.2,1787,161.5
MT,2019-03-01,117.69,3.5,316,22.5
NE,2019-03-01,131.64,3.1,572,46.0
NV,2019-03-01,132.79,4.2,1100,60.8
NH,2019-03-01,145.91,2.6,264,38.6
NJ,2019-03-01,128.84,3.3,2288,306.8
NM,2019-03-01,124.6,5.0,398,
NY,2019-03-01,126.03,3.9,2699,697.9
