fullname,Base Model,country,Upload To Hub Date,Average,#Params (B),CO2 cost (kg),IFEval Raw,IFEval,BBH Raw,BBH,MATH Lvl 5 Raw,MATH Lvl 5,GPQA Raw,GPQA,MUSR Raw,MUSR,MMLU-PRO Raw,MMLU-PRO,Official Providers
01-ai/Yi-1.5-34B,01-ai/Yi-1.5-34B,China,2024-05-11,25.64649419,34.389,22.70339787,0.284117253,28.41172533,0.597639171,42.74936269,0.153323263,15.33232628,0.365771812,15.43624161,0.423604167,11.2171875,0.466589096,40.73212175,TRUE
01-ai/Yi-1.5-34B-32K,01-ai/Yi-1.5-34B-32K,China,2024-05-15,26.72791291,34.389,23.15462858,0.311869174,31.18691738,0.601568578,43.38184667,0.15407855,15.40785498,0.363255034,15.10067114,0.439822917,14.07786458,0.470910904,41.2123227,TRUE
01-ai/Yi-1.5-34B-Chat,01-ai/Yi-1.5-34B-Chat,China,2024-05-10,33.35799367,34.389,22.42384387,0.606675842,60.66758423,0.608374831,44.26282598,0.277190332,27.71903323,0.364932886,15.32438479,0.428197917,13.05807292,0.452044548,39.11606087,TRUE
01-ai/Yi-1.5-34B-Chat-16K,01-ai/Yi-1.5-34B-Chat-16K,China,2024-05-15,29.40355484,34.389,6.774022458,0.456449997,45.64499971,0.610021826,44.53615655,0.213746224,21.37462236,0.338087248,11.74496644,0.439760417,13.73671875,0.454454787,39.38386525,TRUE
01-ai/Yi-1.5-6B,01-ai/Yi-1.5-6B,China,2024-05-11,16.74569805,6.061,1.844209572,0.261660173,26.16601728,0.449258202,22.02790454,0.066465257,6.64652568,0.313758389,8.501118568,0.43740625,13.30911458,0.314411569,23.82350768,TRUE
01-ai/Yi-1.5-6B-Chat,01-ai/Yi-1.5-6B-Chat,China,2024-05-11,22.78400629,6.061,1.444791107,0.514527011,51.45270106,0.457131133,23.67872313,0.162386707,16.23867069,0.302013423,6.935123043,0.439177083,14.03046875,0.31931516,24.36835106,TRUE
01-ai/Yi-1.5-9B,01-ai/Yi-1.5-9B,China,2024-05-11,22.15390151,8.829,1.468892032,0.293584356,29.35843562,0.514294179,30.50071699,0.114048338,11.40483384,0.379194631,17.22595078,0.43278125,12.03098958,0.39162234,32.40248227,TRUE
01-ai/Yi-1.5-9B-32K,01-ai/Yi-1.5-9B-32K,China,2024-05-15,19.80978629,8.829,1.568073413,0.23031113,23.031113,0.496332116,28.93701158,0.108006042,10.80060423,0.359060403,14.54138702,0.418614583,10.82682292,0.376496011,30.72177896,TRUE
01-ai/Yi-1.5-9B-Chat,01-ai/Yi-1.5-9B-Chat,China,2024-05-10,29.53087222,8.829,1.453543491,0.604552587,60.45525871,0.55590643,36.95293138,0.225830816,22.58308157,0.334731544,11.29753915,0.42590625,12.83828125,0.397523271,33.05814125,TRUE
01-ai/Yi-1.5-9B-Chat-16K,01-ai/Yi-1.5-9B-Chat-16K,China,2024-05-15,23.76539235,8.829,1.584745013,0.421404097,42.14040967,0.515338336,31.49760895,0.178247734,17.82477341,0.308724832,7.829977629,0.40990625,10.03828125,0.399351729,33.26130319,TRUE
01-ai/Yi-34B,01-ai/Yi-34B,China,2023-11-01,22.37312702,34.389,25.65748329,0.304575194,30.45751938,0.545709995,35.54243126,0.051359517,5.135951662,0.366610738,15.54809843,0.411854167,9.6484375,0.441156915,37.90632388,TRUE
01-ai/Yi-34B-200K,01-ai/Yi-34B-200K,China,2023-11-06,20.01347534,34.389,25.50385585,0.154248505,15.42485051,0.544181793,36.02211029,0.057401813,5.740181269,0.356543624,14.20581655,0.38171875,9.41484375,0.453457447,39.27304965,TRUE
01-ai/Yi-34B-Chat,01-ai/Yi-34B-Chat,China,2023-11-22,24.22666265,34.389,25.12569569,0.469888784,46.9888784,0.556087291,37.6239876,0.062688822,6.268882175,0.338087248,11.74496644,0.39784375,8.363802083,0.409325133,34.36945922,TRUE
01-ai/Yi-6B,01-ai/Yi-6B,China,2023-11-01,13.61161749,6.061,1.098549254,0.289337846,28.93378458,0.430923059,19.40850474,0.015861027,1.586102719,0.269295302,2.572706935,0.3936875,7.044270833,0.299119016,22.12433511,TRUE
01-ai/Yi-6B-200K,01-ai/Yi-6B-200K,China,2023-11-06,11.9960983,6.061,1.126423981,0.084330687,8.433068702,0.428929481,20.1480201,0.018126888,1.812688822,0.281879195,4.250559284,0.458739583,16.84244792,0.284408245,20.48980496,TRUE
01-ai/Yi-6B-Chat,01-ai/Yi-6B-Chat,China,2023-11-22,14.11765001,6.061,1.110665672,0.339521359,33.95213589,0.413260192,17.00016657,0.013595166,1.359516616,0.294463087,5.928411633,0.368791667,3.565625,0.306100399,22.90004433,TRUE
01-ai/Yi-9B,01-ai/Yi-9B,China,2024-03-01,17.81186737,8.829,1.530663961,0.270877937,27.08779372,0.493960751,27.62695611,0.055891239,5.589123867,0.31795302,9.060402685,0.40540625,8.909114583,0.357380319,28.59781324,TRUE
01-ai/Yi-9B-200K,01-ai/Yi-9B-200K,China,2024-03-15,17.72955179,8.829,1.548982344,0.232709212,23.27092116,0.47933026,26.4924951,0.066465257,6.64652568,0.315436242,8.724832215,0.42940625,12.10911458,0.362200798,29.13342199,TRUE
abacusai/Dracarys-72B-Instruct,abacusai/Dracarys-72B-Instruct,USA,2024-08-14,43.37721214,72.706,24.76692815,0.785577822,78.55778224,0.694406639,56.9355201,0.39652568,39.65256798,0.390939597,18.79194631,0.455822917,16.81119792,0.545628324,49.51425827,TRUE
abacusai/Liberated-Qwen1.5-14B,abacusai/Liberated-Qwen1.5-14B,USA,2024-03-05,20.50814224,14,6.107198577,0.363102125,36.31021246,0.494800092,28.020906,0.160120846,16.01208459,0.283557047,4.474272931,0.41746875,10.31692708,0.351230053,27.91445035,TRUE
abacusai/Llama-3-Smaug-8B,abacusai/Llama-3-Smaug-8B,USA,2024-04-19,19.06776238,8.03,1.820436529,0.486675355,48.66753547,0.493071277,27.88037419,0.085347432,8.534743202,0.248322148,0,0.36225,5.047916667,0.318484043,24.27600473,TRUE
abacusai/Smaug-Llama-3-70B-Instruct-32K,abacusai/Smaug-Llama-3-70B-Instruct-32K,USA,2024-06-11,35.7648916,70.554,26.60682647,0.77611072,77.61107196,0.649310809,49.07037043,0.274924471,27.49244713,0.29614094,6.15212528,0.420791667,12.43229167,0.476479388,41.83104314,TRUE
abacusai/Smaug-Mixtral-v0.1,abacusai/Smaug-Mixtral-v0.1,USA,2024-02-18,23.82147125,46.703,7.882831005,0.555442892,55.54428915,0.51622456,31.91926054,0.095166163,9.516616314,0.301174497,6.823266219,0.4298125,12.99322917,0.335189495,26.13216608,TRUE
abacusai/Smaug-Qwen2-72B-Instruct,abacusai/Smaug-Qwen2-72B-Instruct,USA,2024-06-26,42.07422014,72.706,26.51466956,0.782530353,78.25303528,0.690978993,56.2661719,0.413141994,41.3141994,0.361577181,14.87695749,0.440072917,15.17578125,0.51903258,46.55917553,TRUE
ai21labs/Jamba-v0.1,ai21labs/Jamba-v0.1,Israel,2024-03-28,9.21836509,51.57,15.31529466,0.20255921,20.25592096,0.360226025,10.72205892,0.015861027,1.586102719,0.268456376,2.460850112,0.359020833,3.7109375,0.249168883,16.57432033,TRUE
allenai/OLMo-1.7-7B-hf,allenai/OLMo-1.7-7B-hf,USA,2024-04-17,3.800231913,0,0.654292755,0.156897033,15.68970332,0.301369591,2.770316393,0.002265861,0.226586103,0.255033557,0.67114094,0.347489583,2.06953125,0.112367021,1.374113475,TRUE
allenai/OLMo-1B-hf,allenai/OLMo-1B-hf,USA,2024-04-12,6.633923959,1.177,0.4977475,0.218196607,21.81966072,0.30519469,3.196546312,0.017371601,1.737160121,0.261744966,1.565995526,0.40978125,9.555989583,0.117353723,1.928191489,TRUE
allenai/OLMo-7B-hf,allenai/OLMo-7B-hf,USA,2024-04-12,6.864268027,6.888,1.181128317,0.271927375,27.19273749,0.327913166,5.761987041,0.012084592,1.208459215,0.272651007,3.020134228,0.348666667,2.083333333,0.117270612,1.918956856,TRUE
allenai/OLMo-7B-Instruct-hf,allenai/OLMo-7B-Instruct-hf,USA,2024-06-04,10.84897342,7,1.790599367,0.347265256,34.72652562,0.370646987,13.15993342,0.013595166,1.359516616,0.270973154,2.796420582,0.376479167,4.3265625,0.178523936,8.724881797,TRUE
allenai/OLMoE-1B-7B-0924,allenai/OLMoE-1B-7B-0924,USA,2024-07-20,7.266580604,6.919,6.152814234,0.218471434,21.84714336,0.339343793,8.308106895,0.016616314,1.66163142,0.247483221,0,0.348791667,3.565625,0.173952793,8.21697695,TRUE
amd/AMD-Llama-135m,amd/AMD-Llama-135m,USA,2024-07-19,4.75962716,0.135,0.128719176,0.184224524,18.42245243,0.297393192,2.485495053,0.005287009,0.528700906,0.252516779,0.33557047,0.37796875,4.912760417,0.116855053,1.872783688,TRUE
amd/AMD-Llama-135m,amd/AMD-Llama-135m,USA,2024-07-19,5.228976559,0.134,0.708678032,0.191843198,19.18431983,0.296944497,2.53795268,0.00755287,0.755287009,0.258389262,1.118568233,0.384572917,5.904947917,0.116855053,1.872783688,TRUE
berkeley-nest/Starling-LM-7B-alpha,berkeley-nest/Starling-LM-7B-alpha,USA,2023-11-25,20.83936105,7.242,1.103257773,0.548049176,54.80491762,0.444006526,21.95402809,0.083836858,8.383685801,0.296979866,6.263982103,0.412010417,9.501302083,0.317154255,24.12825059,TRUE
bigcode/starcoder2-15b,bigcode/starcoder2-15b,USA,2024-02-20,12.53917542,15.958,67.68626903,0.278022314,27.80223141,0.444795784,20.37354075,0.059667674,5.966767372,0.273489933,3.131991051,0.35009375,2.928385417,0.235289229,15.03213652,TRUE
bigcode/starcoder2-3b,bigcode/starcoder2-3b,USA,2023-11-29,6.549147626,3.03,0.893257837,0.203708383,20.37083826,0.350871414,8.909299421,0.01510574,1.510574018,0.244127517,0,0.343458333,1.432291667,0.163646941,7.071882388,TRUE
bigcode/starcoder2-7b,bigcode/starcoder2-7b,USA,2024-02-20,8.293438376,7.174,1.012802757,0.220919383,22.09193828,0.366098577,11.39511011,0.030966767,3.096676737,0.251677852,0.223713647,0.379333333,5.816666667,0.164228723,7.136524823,TRUE
bigscience/bloom-1b1,bigscience/bloom-1b1,France,2022-05-19,4.025155876,1.065,1.434042715,0.137337819,13.73378192,0.310727624,4.042705269,0.005287009,0.528700906,0.259228188,1.230425056,0.37,3.416666667,0.110787899,1.198655437,TRUE
bigscience/bloom-1b7,bigscience/bloom-1b7,France,2022-05-19,4.046754481,1.722,1.636719198,0.104389686,10.4389686,0.31405492,4.397452928,0.005287009,0.528700906,0.258389262,1.118568233,0.388572917,6.83828125,0.108626995,0.958554965,TRUE
bigscience/bloom-3b,bigscience/bloom-3b,France,2022-05-19,4.387894129,3.003,1.992112381,0.127096105,12.7096105,0.306291859,3.420098284,0.008308157,0.83081571,0.239932886,0,0.3980625,7.891145833,0.11328125,1.475694444,TRUE
bigscience/bloom-560m,bigscience/bloom-560m,France,2022-05-19,3.507243599,0.559,1.52543228,0.062024318,6.20243177,0.302595054,2.885363608,0.003776435,0.377643505,0.261744966,1.565995526,0.403083333,8.185416667,0.116439495,1.82661052,TRUE
bigscience/bloom-7b1,bigscience/bloom-7b1,France,2022-05-19,3.795510242,7.069,2.011550037,0.132216962,13.22169621,0.311371853,4.038808519,0.005287009,0.528700906,0.264261745,1.901565996,0.348697917,1.920572917,0.110455452,1.161716903,TRUE
CausalLM/14B,CausalLM/14B,USA,2023-10-22,17.23558015,14,1.992828927,0.278821305,27.88213052,0.47004624,24.78094267,0.075528701,7.552870091,0.302852349,7.046979866,0.415479167,11.46822917,0.322140957,24.68232861,TRUE
CausalLM/34b-beta,CausalLM/34b-beta,USA,2024-02-06,23.29783305,34.389,5.853192682,0.304324747,30.43247472,0.55909961,36.67722626,0.048338369,4.833836858,0.34647651,12.86353468,0.374864583,6.924739583,0.532496676,48.05518617,TRUE
CohereForAI/aya-23-35B,CohereForAI/aya-23-35B,Canada,2024-05-19,24.75540845,34.981,33.97063404,0.646193212,64.61932118,0.539955145,34.85836047,0.034743202,3.474320242,0.294463087,5.928411633,0.430989583,13.47369792,0.335605053,26.17833924,TRUE
CohereForAI/aya-23-8B,CohereForAI/aya-23-8B,Canada,2024-05-19,16.01098315,8.028,2.390344163,0.469888784,46.9888784,0.429616152,20.20376065,0.016616314,1.66163142,0.284395973,4.586129754,0.3940625,8.424479167,0.227809176,14.2010195,TRUE
CohereForAI/aya-expanse-32b,CohereForAI/aya-expanse-32b,Canada,2024-10-23,29.71851013,32.296,11.0354702,0.730173717,73.01737168,0.56486701,38.70961143,0.153323263,15.33232628,0.325503356,10.06711409,0.387270833,6.408854167,0.412982048,34.7757831,TRUE
CohereForAI/aya-expanse-8b,CohereForAI/aya-expanse-8b,Canada,2024-10-23,22.4065737,8.028,2.339378138,0.635851762,63.58517622,0.497720306,28.5234825,0.086102719,8.610271903,0.302852349,7.046979866,0.372885417,4.410677083,0.300365691,22.26285461,TRUE
CohereForAI/c4ai-command-r7b-12-2024,CohereForAI/c4ai-command-r7b-12-2024,Canada,2024-12-11,31.61752929,8.028,4.909613872,0.771314556,77.13145565,0.550264215,36.02456417,0.299093656,29.90936556,0.308724832,7.829977629,0.412510417,10.23046875,0.357214096,28.57934397,TRUE
