country,year_month,paper_count,total_cites,paper_count_cumsum,cites_cumsum,Average,IFEval_Raw,IFEval,BBH_Raw,BBH,MATH_Lvl_5_Raw,MATH_Lvl_5,GPQA_Raw,GPQA,MUSR_Raw,MUSR,MMLU_PRO_Raw,MMLU_PRO,symbol,open,high,low,close,adjusted_close,volume,import_value,"Communications, computer, etc. (% of service exports, BoP)","Communications, computer, etc. (% of service imports, BoP)","Computer, communications and other services (% of commercial service exports)","Computer, communications and other services (% of commercial service imports)","Foreign direct investment, net (BoP, current US$)","Foreign direct investment, net inflows (BoP, current US$)",GDP (current US$),GDP growth (annual %),GDP per capita (current US$),High-technology exports (% of manufactured exports),High-technology exports (current US$),"Inflation, GDP deflator (annual %)",Research and development expenditure (% of GDP),Researchers in R&D (per million people),Scientific and technical journal articles,Technicians in R&D (per million people)
Canada,2022-03-01,274,1904,274.0,1904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,XIT.TO,40.95130804310674,41.437787097433336,40.26864640609078,40.87089090761931,40.87089090761931,853423.0,7576974.0,56.1912235399893,51.75594484779562,55.10734379251716,51.23986914475376,38444704429.7409,50229920776.0187,2161483369422.0144,3.8198663391339664,55509.39317640404,14.070435778859547,31224620822.0,7.653819926762267,1.71166002750397,,69051.87,
Canada,2022-04-01,225,2372,499.0,4276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,XIT.TO,39.21443119049072,39.6321138381958,38.51168708801269,38.93851623535157,38.93851623535157,453722.0,7008434.0,56.1912235399893,51.75594484779562,55.10734379251716,51.23986914475376,38444704429.7409,50229920776.0187,2161483369422.0144,3.8198663391339664,55509.39317640404,14.070435778859547,31224620822.0,7.653819926762267,1.71166002750397,,69051.87,
Canada,2022-05-01,338,2656,837.0,6932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,XIT.TO,33.67547480265299,34.13956651233492,33.08604340326218,33.65224556695847,33.65224556695847,771851.0,6683645.0,56.1912235399893,51.75594484779562,55.10734379251716,51.23986914475376,38444704429.7409,50229920776.0187,2161483369422.0144,3.8198663391339664,55509.39317640404,14.070435778859547,31224620822.0,7.653819926762267,1.71166002750397,,69051.87,
Canada,2022-06-01,379,4452,1216.0,11384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,XIT.TO,32.585920160466976,33.00674403797496,32.15216194499623,32.55081324143843,32.55081324143843,462972.0,7420863.0,56.1912235399893,51.75594484779562,55.10734379251716,51.23986914475376,38444704429.7409,50229920776.0187,2161483369422.0144,3.8198663391339664,55509.39317640404,14.070435778859547,31224620822.0,7.653819926762267,1.71166002750397,,69051.87,
Canada,2022-07-01,325,2993,1541.0,14377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,XIT.TO,33.04522361755371,33.55487842559815,32.689532375335695,33.258638286590575,33.258638286590575,585186.0,6649469.0,56.1912235399893,51.75594484779562,55.10734379251716,51.23986914475376,38444704429.7409,50229920776.0187,2161483369422.0144,3.8198663391339664,55509.39317640404,14.070435778859547,31224620822.0,7.653819926762267,1.71166002750397,,69051.87,
Canada,2022-08-01,255,1908,1796.0,16285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,XIT.TO,35.10070176558061,35.45131232521751,34.60920160466974,34.972746242176406,34.972746242176406,607127.0,7279148.0,56.1912235399893,51.75594484779562,55.10734379251716,51.23986914475376,38444704429.7409,50229920776.0187,2161483369422.0144,3.8198663391339664,55509.39317640404,14.070435778859547,31224620822.0,7.653819926762267,1.71166002750397,,69051.87,
Canada,2022-09-01,263,2081,2059.0,18366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,XIT.TO,31.42228026617141,31.757645924886067,31.10869144258045,31.426151911417644,31.426151911417644,408854.0,6948888.0,56.1912235399893,51.75594484779562,55.10734379251716,51.23986914475376,38444704429.7409,50229920776.0187,2161483369422.0144,3.8198663391339664,55509.39317640404,14.070435778859547,31224620822.0,7.653819926762267,1.71166002750397,,69051.87,
Canada,2022-10-01,334,2001,2393.0,20367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,XIT.TO,31.043699264526367,31.514735317230222,30.738313388824466,31.1615852355957,31.1615852355957,602898.0,6739603.0,56.1912235399893,51.75594484779562,55.10734379251716,51.23986914475376,38444704429.7409,50229920776.0187,2161483369422.0144,3.8198663391339664,55509.39317640404,14.070435778859547,31224620822.0,7.653819926762267,1.71166002750397,,69051.87,
Canada,2022-11-01,325,2098,2718.0,22465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,XIT.TO,33.19752398404208,33.609109271656386,32.84968592903831,33.19613794846968,33.19613794846968,675710.0,6641303.0,56.1912235399893,51.75594484779562,55.10734379251716,51.23986914475376,38444704429.7409,50229920776.0187,2161483369422.0144,3.8198663391339664,55509.39317640404,14.070435778859547,31224620822.0,7.653819926762267,1.71166002750397,,69051.87,
Canada,2022-12-01,321,2077,3039.0,24542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,XIT.TO,34.464938926696775,34.83739795684814,34.14278430938721,34.48577194213867,34.48577194213867,680831.0,6266158.0,56.1912235399893,51.75594484779562,55.10734379251716,51.23986914475376,38444704429.7409,50229920776.0187,2161483369422.0144,3.8198663391339664,55509.39317640404,14.070435778859547,31224620822.0,7.653819926762267,1.71166002750397,,69051.87,
Canada,2023-01-01,1483,4812,4522.0,29354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,XIT.TO,36.21660850161598,36.612466539655415,35.95625250680106,36.40001987275623,36.40001987275623,453820.0,6925644.0,50.42159425995333,48.68872147836276,49.40904314191948,48.14312610137679,46703138162.3134,42076242120.3715,2142470914401.357,1.2489273040339128,53431.18570638787,15.187742229960378,35226982857.0,1.534710113253098,1.70132994651794,,,
Canada,2023-02-01,218,1677,4740.0,31031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,XIT.TO,39.44319654765882,39.789794921875,39.06504038760536,39.43784794054533,39.43784794054533,378151.0,6370146.0,50.42159425995333,48.68872147836276,49.40904314191948,48.14312610137679,46703138162.3134,42076242120.3715,2142470914401.357,1.2489273040339128,53431.18570638787,15.187742229960378,35226982857.0,1.534710113253098,1.70132994651794,,,
Canada,2023-03-01,221,1777,4961.0,32808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,XIT.TO,39.12071393883747,39.53561301853346,38.87018402763035,39.28243172687033,39.28243172687033,345876.0,8089711.0,50.42159425995333,48.68872147836276,49.40904314191948,48.14312610137679,46703138162.3134,42076242120.3715,2142470914401.357,1.2489273040339128,53431.18570638787,15.187742229960378,35226982857.0,1.534710113253098,1.70132994651794,,,
Canada,2023-04-01,243,1581,5204.0,34389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,XIT.TO,41.62387687281559,41.79771142256888,41.35964905588251,41.594993792082136,41.594993792082136,120442.0,6971995.0,50.42159425995333,48.68872147836276,49.40904314191948,48.14312610137679,46703138162.3134,42076242120.3715,2142470914401.357,1.2489273040339128,53431.18570638787,15.187742229960378,35226982857.0,1.534710113253098,1.70132994651794,,,
