state,bill_id,bill_url,title,status,date_of_last_action,author,topics,summary,history,year
Alabama,AL H    169,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H169&ciq=urn:user:PA196471263&client_md=5883624f12ed272ea6ef90117e0c6cca&mode=current_text,Public Education,Failed - Adjourned - House Ways and Means Education Committee,2/5/2025,Garrett (R),"Appropriations, Education Use","Relates to make appropriations for the support, maintenance and development of public education in state, for debt service, and for capital outlay for the fiscal year ending specific date.","02/05/2025 - INTRODUCED.
02/05/2025 - To HOUSE Committee on WAYS AND MEANS EDUCATION.",2025
Alabama,AL H    208,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H208&ciq=urn:user:PA196471263&client_md=856c22743bcd370fe814bcedeb11059a&mode=current_text,State Government,Failed - Adjourned - HOUSE,2/6/2025,Shaw (R),Government Use,"Relates to secretary of Information Technology, duties cybertechnology technology quality assurance for state agencies further provided.","02/06/2025 - INTRODUCED.
02/06/2025 - To HOUSE Committee on STATE GOVERNMENT.",2025
Alabama,AL H    235,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H235&ciq=urn:user:PA196471263&client_md=4e6de89d72a83ce4d269f86209e76af7&mode=current_text,Social Media,Failed - Adjourned - House Children and Senior Advocacy Committee,2/6/2025,Faulkner (R),,"Concerns social media, prohibits individuals under 16 years of age from creating accounts, requires age verification, establishes penalties for violations.","02/06/2025 - INTRODUCED.
02/06/2025 - To HOUSE Committee on CHILDREN AND SENIOR ADVOCACY.",2025
Alabama,AL HR   244,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000HR244&ciq=urn:user:PA196471263&client_md=88178509d5528a04661ed47108cecde3&mode=current_text,Commending Ignite,Failed - Adjourned - HOUSE,4/15/2025,Lomax (R),Private Sector Use,Appoints committee to its leadership on their acquisition of reliant technologies.,04/15/2025 - INTRODUCED.,2025
Alabama,AL H    276,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H276&ciq=urn:user:PA196471263&client_md=7bb1f896f172743aa494822ee6dcaf0b&mode=current_text,Social Media Platforms Account Termination,Failed - Adjourned - House Children and Senior Advocacy Committee,2/13/2025,Robbins (R),Private Sector Use,"Concerns consumer protection, requires social media platforms terminate certain accounts, displays notifications, prohibits certain actions, relates to use of age verification, provides for certain tools, removes certain content, provides for penalties violations.","02/13/2025 - INTRODUCED.
02/13/2025 - To HOUSE Committee on CHILDREN AND SENIOR ADVOCACY.",2025
Alabama,AL H    283,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H283&ciq=urn:user:PA196471263&client_md=1c7fb73e53fbaea44b24dcb3e424dbb3&mode=current_text,Data Privacy,Failed - Adjourned - Senate Fiscal Responsibility and Economic Development Committee,4/22/2025,Shaw (R),Private Sector Use,"Concerns data privacy, regulates processing of data, authorizes consumer actions related to data.","02/13/2025 - INTRODUCED.
02/13/2025 - To HOUSE Committee on COMMERCE AND SMALL BUSINESS.
04/09/2025 - From HOUSE Committee on COMMERCE AND SMALL BUSINESS:  Reported favorably.
04/22/2025 - COMMERCE AND SMALL BUSINESS Committee substitute offered on HOUSE floor.
04/22/2025 - COMMERCE AND SMALL BUSINESS Committee substitute adopted on HOUSE floor.
04/22/2025 - Passed HOUSE.  *****To SENATE.
04/24/2025 - To SENATE Committee on FISCAL RESPONSIBILITY AND ECONOMIC DEVELOPMENT.",2025
Alabama,AL S    294,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000S294&ciq=urn:user:PA196471263&client_md=d6deec6eea7794238c8fa05b2d136e74&mode=current_text,Health Insurance,Failed - Adjourned - Senate Banking and Insurance Committee,4/3/2025,Orr (R),"Health Use, Private Sector Use","Relates to health insurance, regulates and modernizes the prior authorization process.","04/03/2025 - INTRODUCED.
04/03/2025 - To SENATE Committee on BANKING AND INSURANCE.",2025
Alabama,AL H    317,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H317&ciq=urn:user:PA196471263&client_md=a6af312dc67fe179e62587632bd1c7d0&mode=current_text,Consumer Protection,Failed - Adjourned - House Children and Senior Advocacy Committee,2/20/2025,Sells (R),"Private Sector Use, Provenance","Relates to consumer protection, app store providers and developers required to take certain actions related to age verification and parental consent, attorney general authorized to bring action for violations as deceptive trade practice, parents authorized to bring civil action.","02/20/2025 - INTRODUCED.
02/20/2025 - To HOUSE Committee on CHILDREN AND SENIOR ADVOCACY.",2025
Alabama,AL H    332,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H332&ciq=urn:user:PA196471263&client_md=3351384f0b105be726a7ea51bed1917c&mode=current_text,Public Education,Failed - Adjourned - SENATE,4/1/2025,Faulkner (R),Education Use,"Relates to education, public kindergarten through grade 12 schools, completion of approved computer science course required.","02/25/2025 - INTRODUCED.
02/25/2025 - To HOUSE Committee on EDUCATION POLICY.
03/19/2025 - From HOUSE Committee on EDUCATION POLICY:  Reported favorably.
04/01/2025 - EDUCATION POLICY Committee substitute offered on HOUSE floor.
04/01/2025 - Committee Substitute adopted on HOUSE floor.
04/01/2025 - Passed HOUSE.  *****To SENATE.
04/03/2025 - To SENATE Committee on EDUCATION POLICY.
04/30/2025 - From SENATE Committee on EDUCATION POLICY:  Reported favorably.",2025
Alabama,AL H    365,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H365&ciq=urn:user:PA196471263&client_md=59fea8921e791d0284f9b1984eefc7e1&mode=current_text,STEM Council,Enacted - Act No.  2025-449,05/21/2025 - Enacted,Collins (R),"Education Use, Effect on Labor/Employment, Studies","Creates the State Science, Technology, Engineering, and Mathematics Council in the Department of Workforce, provides for membership, including the executive committee of the council, provides that the duties of the Director of the STEM Council shall include, among other things, conducting comprehensive, external evaluations of STEM based curricula and educational initiatives that receive funding from the Education Trust Fund, provides for meetings.","02/27/2025 - INTRODUCED.
02/27/2025 - To HOUSE Committee on EDUCATION POLICY.
03/05/2025 - From HOUSE Committee on EDUCATION POLICY:  Reported favorably.
04/01/2025 - EDUCATION POLICY Committee substitute offered on HOUSE floor.
04/01/2025 - Committee Substitute adopted on HOUSE floor.
04/01/2025 - Passed HOUSE.  *****To SENATE.
04/01/2025 - To SENATE Committee on EDUCATION POLICY.
04/09/2025 - From SENATE Committee on EDUCATION POLICY:  Reported favorably.
05/07/2025 - EDUCATION Committee amendment offered on SENATE floor.
05/07/2025 - Senator amendment adopted on SENATE floor.
05/07/2025 - Passed SENATE.  *****To HOUSE for concurrence.
05/07/2025 - HOUSE concurred in SENATE amendments.
05/07/2025 - Eligible for GOVERNOR'S desk.
05/14/2025 - *****To GOVERNOR.
05/21/2025 - Signed by GOVERNOR.
05/21/2025 - Act No. 2025-449",2025
