Jurisdiction,Legislative process,Introduced,In committee,In cross chamber,In cross committee,Passed,Signed,Statute/bill,Scope,Governance,Program and documentation,Assessments,Training,Responsible individual,Transparency,General notice,Labeling/notification,Explanation/incident reporting,Developer documentation,Assurance,Registration,Third-party review,Individual rights,Opt out/appeal,Nondiscrimination,url
California,LAWS SIGNED (TO DATE),,,,,,1,AB 2013,G,,,,,,,2,,,,,,,,,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240AB2013
California,LAWS SIGNED (TO DATE),,,,,,1,SB 942,G,,,,,,,2,2,,,,,,,,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240SB942
Colorado,LAWS SIGNED (TO DATE),,,,,,1,SB 205,D,,1.2,1.2,,,,1.2,1,1.2,2,,,,,1,1.2,https://leg.colorado.gov/bills/sb24-205
Utah,LAWS SIGNED (TO DATE),,,,,,1,SB 149,G,,,,,,,,1,,,,,,,,,https://le.utah.gov/~2024/bills/static/SB0149.html
Utah,LAWS SIGNED (TO DATE),,,,,,1,SB 226,G,,,,,,,,1,,,,,,,,,https://le.utah.gov/~2025/bills/static/SB0226.html
Texas,LAWS SIGNED (TO DATE),,,,,,1,HB 149,A,,"1,2,3",,,,,,,,,,,,,,1.2,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB149
California,ACTIVE BILLS,,,,1,,,AB 1018,D,,,2,,1,,,1,,2,,,1.2,,1,,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260AB1018
California,ACTIVE BILLS,,,,1,,,AB 412,G,,2,,,,,2,,,,,,,,,,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB412
California,ACTIVE BILLS,,,,1,,,SB 11,D,,,,,,,,1.2,,,,,,,,,https://leginfo.legislature.ca.gov/faces/billCompareClient.xhtml?bill_id=202520260SB11&showamends=false
California,ACTIVE BILLS,,,,1,,,SB 53,F,,2,,,,,2,,2,,,,,,,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB53
California,ACTIVE BILLS,,,,1,,,SB 420,D,,1.2,1.2,,,,1,1,,2,,,,,,1.2,https://leginfo.legislature.ca.gov/faces/billCompareClient.xhtml?bill_id=202520260SB420&showamends=false
